Quarter,Time,Down,ToGo,Location,JAX,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Jason Myers kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,TAM 20,0,0,Jameis Winston pass complete short right to Brandon Myers for 17 yards (tackle by Thurston Armbrister),0.280,1.400
1,14:22,1,10,TAM 37,0,0,Doug Martin right guard for 4 yards (tackle by Michael Bennett and Jared Odrick),1.400,1.400
1,13:40,2,6,TAM 41,0,0,Jameis Winston pass complete short middle to Vincent Jackson for 14 yards (tackle by Davon House),1.400,2.590
1,13:08,1,10,JAX 45,0,0,Doug Martin right guard for 3 yards (tackle by Aaron Colvin and Telvin Smith),2.590,2.450
1,12:33,2,7,JAX 42,0,0,Charles Sims for 15 yards,2.450,3.780
1,12:13,1,10,JAX 27,0,0,Jameis Winston pass complete short left to Charles Sims for 6 yards (tackle by Abry Jones),3.780,4.040
1,11:38,2,4,JAX 21,0,0,Charles Sims right guard for 1 yard (tackle by Jonathan Cyprien),4.040,3.470
1,10:54,3,3,JAX 20,0,0,Jameis Winston left end for 2 yards (tackle by Telvin Smith),3.470,2.400
1,10:22,4,1,JAX 18,0,3,Connor Barth 35 yard field goal good,2.400,3.000
1,10:22,,,TAM 35,0,3,"Connor Barth kicks off 65 yards, touchback",0.000,-0.280
1,10:16,1,10,JAX 20,0,3,T.J. Yeldon left tackle for -3 yards (tackle by Clinton McDonald and Gerald McCoy),0.280,-0.790
1,9:43,2,13,JAX 17,0,3,T.J. Yeldon left guard for 9 yards (tackle by Alterraun Verner),-0.790,-0.160
1,9:02,3,4,JAX 26,0,3,Blake Bortles sacked by Howard Jones for -6 yards. Penalty on A.J. Cann: Illegal Use of Hands (Declined),-0.160,-2.030
1,8:40,4,10,JAX 20,0,3,Bryan Anger punts 63 yards,-2.030,0.060
1,8:26,1,10,TAM 17,0,3,Doug Martin left tackle for -2 yards (tackle by Telvin Smith),-0.060,-0.850
1,7:52,2,12,TAM 15,0,3,Jameis Winston pass complete short right to Doug Martin for 13 yards (tackle by Aaron Colvin and Roy Miller),-0.850,0.810
1,7:07,1,10,TAM 28,0,3,Jameis Winston pass complete short right to Mike Evans for 10 yards (tackle by Davon House),0.810,1.470
1,6:38,1,10,TAM 38,0,3,Doug Martin left guard for 14 yards (tackle by Aaron Colvin and Sergio Brown),1.470,2.390
1,6:03,1,10,JAX 48,0,3,Doug Martin right tackle for 1 yard (tackle by Thurston Armbrister and Abry Jones),2.390,1.980
1,5:23,2,9,JAX 47,0,3,Doug Martin right tackle for 2 yards (tackle by Thurston Armbrister),1.980,1.550
1,4:45,3,7,JAX 45,0,3,Jameis Winston pass incomplete short middle intended for Vincent Jackson,1.550,0.270
1,4:40,4,7,JAX 45,0,3,Jake Schum punts 23 yards,0.270,-0.410
1,4:30,1,10,JAX 22,0,3,Blake Bortles pass complete short right to Julius Thomas for 5 yards (tackle by Danny Lansanah),0.410,0.540
1,3:56,2,5,JAX 27,0,3,Blake Bortles pass complete short right to Allen Robinson for 8 yards (tackle by Tim Jennings),0.540,1.270
1,3:17,1,10,JAX 35,0,3,T.J. Yeldon left end for 2 yards (tackle by George Johnson),1.270,0.990
1,2:39,2,8,JAX 37,0,3,Blake Bortles pass incomplete deep left intended for Allen Robinson,0.990,0.300
1,2:30,3,8,JAX 37,0,3,Blake Bortles pass complete short middle to Allen Hurns for 24 yards (tackle by Chris Conte and Bradley McDougald),0.300,2.980
1,1:48,1,10,TAM 39,0,3,Blake Bortles pass complete short left to Allen Robinson for 7 yards (tackle by Sterling Moore),2.980,3.390
1,1:13,2,3,TAM 32,0,3,T.J. Yeldon right guard for 2 yards (tackle by Major Wright and Danny Lansanah),3.390,2.940
1,0:33,3,1,TAM 30,0,3,"Blake Bortles middle for 3 yards (tackle by Lavonte David). Penalty on Tony McDaniel: Defensive Offside, 5 yards (no play)",2.940,3.910
1,0:09,1,10,TAM 25,0,3,T.J. Yeldon right end for no gain (tackle by Tim Jennings),3.910,3.360
Quarter,Time,Down,ToGo,Location,JAX,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,TAM 25,0,3,Blake Bortles pass complete short right to T.J. Yeldon for 13 yards (tackle by Lavonte David),3.360,4.780
2,14:29,1,10,TAM 12,6,3,"Blake Bortles pass complete short middle to Allen Hurns for 12 yards, touchdown",4.780,7.000
2,14:29,,,TAM 12,7,3,Jason Myers kicks extra point good,0.000,0.000
2,14:29,,,JAX 35,7,3,"Jason Myers kicks off 65 yards, touchback",0.000,-0.280
2,14:20,1,10,TAM 20,7,3,Doug Martin left tackle for 39 yards (tackle by Telvin Smith),0.280,2.850
2,13:29,1,10,JAX 41,7,3,Jameis Winston pass incomplete deep left intended for Mike Evans (defended by Davon House),2.850,2.310
2,13:21,2,10,JAX 41,7,3,Doug Martin middle for 20 yards (tackle by Jonathan Cyprien),2.310,4.170
2,12:48,1,10,JAX 21,7,3,Doug Martin right guard for 2 yards (tackle by Dwayne Gratz),4.170,3.900
2,12:09,2,8,JAX 19,7,3,Jameis Winston sacked by Roy Miller for -9 yards,3.900,2.020
2,11:42,3,17,JAX 28,7,3,"Penalty on Joe Hawley: False Start, 5 yards (no play)",2.020,1.360
2,11:25,3,22,JAX 33,7,3,Charles Sims left guard for 6 yards (tackle by Telvin Smith),1.360,1.670
2,10:46,4,16,JAX 27,7,6,Connor Barth 45 yard field goal good,1.670,3.000
2,10:46,,,TAM 35,7,6,"Connor Barth kicks off 65 yards, touchback",0.000,-0.280
2,10:39,1,10,JAX 20,7,6,"Penalty on Jermey Parnell: False Start, 5 yards (no play)",0.280,-0.310
2,10:39,1,15,JAX 15,7,6,T.J. Yeldon left tackle for 8 yards (tackle by Clinton McDonald),-0.310,0.140
2,10:04,2,7,JAX 23,7,6,Blake Bortles pass incomplete short right intended for Allen Hurns,0.140,-0.560
2,9:57,3,7,JAX 23,7,6,Blake Bortles sacked by Howard Jones for -9 yards,-0.560,-2.470
2,9:22,4,16,JAX 14,7,6,"Bryan Anger punts 61 yards, returned by Bobby Rainey for 58 yards (tackle by Demetrius McCray)",-2.470,-4.440
2,8:59,1,10,JAX 17,7,6,Doug Martin right end for 4 yards (tackle by Telvin Smith and Thurston Armbrister),4.440,4.500
2,8:18,2,6,JAX 13,7,6,Doug Martin left guard for 3 yards (tackle by Telvin Smith),4.500,4.340
2,7:34,3,3,JAX 10,7,12,"Jameis Winston pass complete short middle to Doug Martin for 10 yards, touchdown",4.340,7.000
2,7:34,,,JAX 10,7,13,Connor Barth kicks extra point good,0.000,0.000
2,7:34,,,TAM 35,7,13,"Connor Barth kicks off 65 yards, touchback",0.000,-0.280
2,7:26,1,10,JAX 20,7,13,Bernard Pierce right guard for 4 yards (tackle by Chris Conte),0.280,0.270
2,6:48,2,6,JAX 24,7,13,Bernard Pierce right guard for 2 yards (tackle by Lavonte David),0.270,-0.160
2,6:10,3,4,JAX 26,7,13,"Penalty on Jacquies Smith: Neutral Zone Infraction, 5 yards (no play)",-0.160,1.000
2,5:59,1,10,JAX 31,7,13,Blake Bortles pass incomplete short left intended for Marcedes Lewis is intercepted by Bradley McDougald at JAX-42 and returned for 1 yard,1.000,-2.850
2,5:49,1,10,JAX 41,7,13,Charles Sims left guard for 4 yards (tackle by Thurston Armbrister),2.850,2.850
2,5:18,2,6,JAX 37,7,13,Jameis Winston pass complete short left to Brandon Myers for 17 yards (tackle by Telvin Smith),2.850,4.240
2,4:41,1,10,JAX 20,7,13,Charles Sims middle for no gain (tackle by Aaron Colvin),4.240,3.690
2,3:58,2,10,JAX 20,7,13,Jameis Winston pass complete short middle to Mike Evans for 17 yards (tackle by Sergio Brown),3.690,6.510
2,3:18,1,3,JAX 3,7,13,Doug Martin right guard for 2 yards (tackle by Tyson Alualu and Roy Miller),6.510,5.910
2,2:31,2,1,JAX 1,7,19,"Doug Martin right tackle for 1 yard, touchdown",5.910,7.000
2,2:31,,,JAX 1,7,20,Connor Barth kicks extra point good,0.000,0.000
2,2:31,,,TAM 35,7,20,"Connor Barth kicks off 71 yards, returned by Corey Grant for 28 yards (tackle by Keith Tandy)",0.000,-0.410
2,2:20,1,10,JAX 22,7,20,Blake Bortles pass complete short middle to T.J. Yeldon for 8 yards (tackle by Lavonte David and Chris Conte),0.410,0.950
2,2:00,2,2,JAX 30,7,20,Blake Bortles pass complete short right to Bryan Walters for 18 yards (tackle by Alterraun Verner),0.950,2.130
2,1:35,1,10,JAX 48,7,20,Blake Bortles sacked by Kwon Alexander and Alterraun Verner for -6 yards,2.130,2.130
2,1:29,1,10,JAX 48,7,20,Timeout #1 by Jacksonville Jaguars,2.130,0.770
2,1:29,2,16,JAX 42,7,20,Blake Bortles middle for 21 yards (tackle by Alterraun Verner),0.770,3.120
2,1:07,1,10,TAM 37,7,20,Blake Bortles pass complete deep middle to Bryan Walters for 24 yards (tackle by Bradley McDougald),3.120,4.710
2,0:45,1,10,TAM 13,7,20,Blake Bortles pass incomplete short middle intended for T.J. Yeldon (defended by Lavonte David),4.710,4.050
2,0:40,2,10,TAM 13,13,20,"Blake Bortles pass complete short middle to Allen Robinson for 13 yards, touchdown",4.050,7.000
2,0:40,,,TAM 13,14,20,Jason Myers kicks extra point good,0.000,0.000
2,0:40,,,JAX 35,14,20,"Jason Myers kicks off 64 yards, out of bounds",0.000,-1.600
2,0:36,1,10,TAM 40,14,20,"Jameis Winston pass complete short left to Donteea Dye for 10 yards (tackle by Telvin Smith). Penalty on Gosder Cherilus: Ineligible Downfield Pass, 5 yards (no play)",1.600,1.270
2,0:29,1,15,TAM 35,14,20,Charles Sims left guard for 3 yards (tackle by Aaron Colvin),1.270,0.780
Quarter,Time,Down,ToGo,Location,JAX,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
