Unnamed: 0,JAX,TAM
First Downs,21,20
Rush-Yds-TDs,17-55-0,40-183-2
Cmp-Att-Yd-TD-INT,23-33-303-4-1,13-19-209-1-0
Sacked-Yards,6-33,2-23
Net Pass Yards,270,186
Total Yards,325,369
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,3-12,10-72
Third Down Conv.,2-8,5-11
Fourth Down Conv.,1-1,0-0
Time of Possession,25:19,34:41
