Quarter,Time,Tm,Detail,HOU,BAL
1.0,1:00,Ravens,J.K. Dobbins 4 yard rush (Justin Tucker kick),0,7
2.0,3:56,Texans,Ka'imi Fairbairn 35 yard field goal,3,7
,0:00,Texans,Ka'imi Fairbairn 38 yard field goal,6,7
3.0,9:55,Ravens,Justice Hill 2 yard rush (Gus Edwards run),6,15
,5:21,Ravens,Justice Hill 2 yard rush (Justin Tucker kick),6,22
4.0,13:47,Texans,Ka'imi Fairbairn 36 yard field goal,9,22
,4:10,Ravens,Justin Tucker 39 yard field goal,9,25
