Unnamed: 0,HOU,BAL
First Downs,18,18
Rush-Yds-TDs,23-72-0,32-110-3
Cmp-Att-Yd-TD-INT,28-44-242-0-0,17-22-169-0-1
Sacked-Yards,5-46,4-14
Net Pass Yards,196,155
Total Yards,268,265
Fumbles-Lost,1-1,2-1
Turnovers,1,2
Penalties-Yards,9-88,13-106
Third Down Conv.,7-18,8-15
Fourth Down Conv.,1-4,0-0
Time of Possession,29:05,30:55
