Unnamed: 0,IND,GNB
First Downs,21,24
Rush-Yds-TDs,23-73-2,35-116-1
Cmp-Att-Yd-TD-INT,21-42-229-0-2,21-28-186-1-0
Sacked-Yards,0-0,0-0
Net Pass Yards,229,186
Total Yards,302,302
Fumbles-Lost,1-0,3-0
Turnovers,2,0
Penalties-Yards,12-110,9-70
Third Down Conv.,5-15,5-12
Fourth Down Conv.,3-3,1-1
Time of Possession,26:14,33:46
