Quarter,Time,Tm,Detail,IND,GNB
1.0,8:06,Packers,Mason Crosby 31 yard field goal,0,3
,4:06,Colts,Dominic Rhodes 3 yard rush (Adam Vinatieri kick),7,3
2.0,14:15,Packers,Donald Lee 12 yard pass from Aaron Rodgers (Mason Crosby kick),7,10
,2:49,Packers,Ryan Grant 11 yard rush (Mason Crosby kick),7,17
3.0,12:28,Packers,Nick Collins 62 yard interception return (Mason Crosby kick),7,24
,2:37,Packers,Mason Crosby 29 yard field goal,7,27
4.0,4:27,Packers,Aaron Rouse 99 yard interception return (Mason Crosby kick),7,34
,1:41,Colts,Dominic Rhodes 1 yard rush (Adam Vinatieri kick),14,34
