Quarter,Time,Tm,Detail,SFO,DAL
1.0,9:34,Cowboys,Tony Pollard 1 yard rush (Greg Zuerlein kick),0,7
,6:39,Cowboys,Michael Gallup 3 yard pass from Andy Dalton (Greg Zuerlein kick),0,14
,0:12,49ers,Jordan Reed 5 yard pass from Nick Mullens (Robbie Gould kick),7,14
2.0,11:37,Cowboys,Greg Zuerlein 48 yard field goal,7,17
,5:00,49ers,Brandon Aiyuk 2 yard pass from Nick Mullens (Robbie Gould kick),14,17
3.0,10:48,49ers,Robbie Gould 41 yard field goal,17,17
,7:35,Cowboys,Dalton Schultz 12 yard pass from Andy Dalton (Greg Zuerlein kick),17,24
,2:08,49ers,Jeff Wilson 1 yard rush (Robbie Gould kick),24,24
4.0,10:08,Cowboys,Greg Zuerlein 46 yard field goal,24,27
,2:27,Cowboys,Tony Pollard 40 yard rush (Greg Zuerlein kick),24,34
,0:40,49ers,Robbie Gould 31 yard field goal,27,34
,0:34,Cowboys,CeeDee Lamb 47 yard kickoff return (Greg Zuerlein kick),27,41
,0:00,49ers,Kendrick Bourne 49 yard pass from C.J. Beathard,33,41
