Unnamed: 0,SFO,DAL
First Downs,28,15
Rush-Yds-TDs,36-150-1,22-87-2
Cmp-Att-Yd-TD-INT,26-43-319-3-2,20-34-221-2-0
Sacked-Yards,2-11,2-17
Net Pass Yards,308,204
Total Yards,458,291
Fumbles-Lost,2-2,0-0
Turnovers,4,0
Penalties-Yards,4-39,5-58
Third Down Conv.,6-15,6-15
Fourth Down Conv.,1-1,0-0
Time of Possession,34:56,25:04
