Quarter,Time,Down,ToGo,Location,SFO,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,SFO 25,0,0,Raheem Mostert left end for 1 yard (tackle by Antwaun Woods),0.610,0.200
1,14:36,2,9,SFO 26,0,0,Raheem Mostert right tackle for 8 yards (tackle by Chidobe Awuzie and Jaylon Smith),0.200,0.560
1,14:12,3,1,SFO 34,0,0,"Penalty on Ross Dwelley: False Start, 4 yards (no play)",0.560,0.040
1,13:53,3,5,SFO 30,0,0,Nick Mullens pass incomplete short right intended for Jordan Reed,0.040,-1.370
1,13:48,4,5,SFO 30,0,0,"Mitch Wishnowsky punts 48 yards, returned by Cedrick Wilson for 10 yards (tackle by Tevin Coleman)",-1.370,-1.070
1,13:36,1,10,DAL 32,0,0,Andy Dalton pass complete short right to Amari Cooper for 5 yards (tackle by K'Waun Williams),1.070,1.200
1,13:03,2,5,DAL 37,0,0,Tony Pollard left guard for 3 yards (tackle by D.J. Jones),1.200,0.890
1,12:27,3,2,DAL 40,0,0,Andy Dalton pass incomplete short right intended for Tony Pollard,0.890,-0.720
1,12:22,4,2,DAL 40,0,0,"Hunter Niswander punts 59 yards downed by C.J. Goodwin. Penalty on Sewo Olonilua: Illegal Formation, 5 yards (no play)",-0.720,-1.040
1,12:11,4,7,DAL 35,0,0,"Hunter Niswander punts 52 yards, returned by Richie James for 9 yards (tackle by Dorance Armstrong). Richie James fumbles (forced by Dorance Armstrong), recovered by Dorance Armstrong at SF-22",-1.040,4.110
1,11:58,1,10,SFO 22,0,0,Tony Pollard right tackle for 3 yards (tackle by Arik Armstead),4.110,3.970
1,11:16,2,7,SFO 19,0,0,Andy Dalton pass complete short right to Tony Pollard for 12 yards (tackle by Fred Warner),3.970,5.600
1,10:46,1,7,SFO 7,0,0,Andy Dalton pass complete short right to Tony Pollard for 4 yards (tackle by Jimmie Ward),5.600,5.530
1,10:16,2,3,SFO 3,0,0,Tony Pollard left tackle for 2 yards (tackle by Fred Warner and Azeez Al-Shaair),5.530,5.170
1,9:38,3,1,SFO 1,0,6,"Tony Pollard left tackle for 1 yard, touchdown",5.170,7.000
1,9:34,,,SFO 15,0,7,Greg Zuerlein kicks extra point good,0.000,0.000
1,9:34,,,DAL 35,0,7,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,9:34,1,10,SFO 25,0,7,Jeff Wilson left end for 2 yards (tackle by Donovan Wilson),0.610,0.330
1,9:12,2,8,SFO 27,0,7,Nick Mullens pass incomplete short left intended for Jeff Wilson,0.330,-0.360
1,9:07,3,8,SFO 27,0,7,"Nick Mullens sacked by DeMarcus Lawrence for -3 yards. Nick Mullens fumbles (forced by DeMarcus Lawrence), recovered by Aldon Smith at SF-24",-0.360,-3.970
1,9:01,1,10,SFO 24,0,7,Andy Dalton pass complete short left to Blake Bell for 10 yards (tackle by Jimmie Ward). Penalty on Arik Armstead: Defensive Offside (Declined),3.970,4.650
1,8:39,1,10,SFO 14,0,7,Rico Dowdle right guard for 2 yards (tackle by Fred Warner and Arik Armstead),4.650,4.330
1,8:03,2,8,SFO 12,0,7,Tony Pollard left end for 7 yards (tackle by Azeez Al-Shaair and Dre Greenlaw),4.330,4.960
1,7:20,3,1,SFO 5,0,7,Blake Bell up the middle for 2 yards (tackle by Arik Armstead),4.960,6.510
1,6:43,1,3,SFO 3,0,13,"Andy Dalton pass complete short middle to Michael Gallup for 3 yards, touchdown",6.510,7.000
1,6:39,,,SFO 15,0,14,Greg Zuerlein kicks extra point good,0.000,0.000
1,6:39,,,DAL 35,0,14,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,6:39,1,10,SFO 25,0,14,Raheem Mostert left tackle for 5 yards (tackle by Jaylon Smith),0.610,0.740
1,6:16,2,5,SFO 30,0,14,"Raheem Mostert right end for 12 yards (tackle by Leighton Vander Esch). Penalty on Justin Skule: Offensive Holding, 10 yards (no play)",0.740,-0.610
1,5:46,2,15,SFO 20,0,14,Nick Mullens pass complete short left to Kendrick Bourne for 14 yards (tackle by Anthony Brown and Jaylon Smith),-0.610,0.560
1,5:03,3,1,SFO 34,0,14,Raheem Mostert up the middle for 1 yard (tackle by Neville Gallimore),0.560,1.270
1,4:27,1,10,SFO 35,0,14,Nick Mullens pass incomplete short right intended for Richie James,1.270,0.720
1,4:23,2,10,SFO 35,0,14,Raheem Mostert right end for 8 yards (tackle by Jourdan Lewis and Leighton Vander Esch),0.720,1.090
1,3:41,3,2,SFO 43,0,14,Nick Mullens pass complete short left to Kendrick Bourne for 12 yards (tackle by Anthony Brown and Jaylon Smith),1.090,2.590
1,3:16,1,10,DAL 45,0,14,Jeff Wilson left tackle for 4 yards (tackle by Antwaun Woods and Neville Gallimore),2.590,2.580
1,2:55,2,6,DAL 41,0,14,Nick Mullens pass complete short right to Brandon Aiyuk for 13 yards (tackle by Anthony Brown),2.580,3.710
1,2:31,1,10,DAL 28,0,14,Nick Mullens pass incomplete short left intended for Richie James (defended by Chidobe Awuzie),3.710,3.170
1,2:26,2,10,DAL 28,0,14,Raheem Mostert up the middle for 9 yards (tackle by Jaylon Smith),3.170,3.720
1,1:44,,,,,,Timeout #1 by Dallas Cowboys,,
1,1:44,3,1,DAL 19,0,14,Raheem Mostert left end for 17 yards (tackle by Tyrone Crawford),3.720,6.740
1,0:58,1,2,DAL 2,0,14,Raheem Mostert left tackle for -3 yards (tackle by Neville Gallimore),6.740,5.150
1,0:17,2,5,DAL 5,6,14,"Nick Mullens pass complete short left to Jordan Reed for 5 yards, touchdown",5.150,7.000
1,0:12,,,DAL 15,7,14,Robbie Gould kicks extra point good,0.000,0.000
1,0:12,,,SFO 35,7,14,"Mitch Wishnowsky kicks off 62 yards, returned by Rico Dowdle for 30 yards (tackle by Marcell Harris)",0.000,1.140
1,0:07,1,10,DAL 33,7,14,Andy Dalton pass complete short right to Tony Pollard for 30 yards (tackle by Tarvarius Moore),1.140,3.120
Quarter,Time,Down,ToGo,Location,SFO,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SFO 37,7,14,Andy Dalton pass complete short right to Tony Pollard for 1 yard (tackle by Dre Greenlaw),3.120,2.710
2,14:19,2,9,SFO 36,7,14,Andy Dalton pass incomplete deep left intended for Amari Cooper,2.710,2.010
2,14:14,3,9,SFO 36,7,14,Andy Dalton pass complete short right to Michael Gallup for 11 yards (tackle by Richard Sherman),2.010,3.910
2,13:40,1,10,SFO 25,7,14,Tony Pollard right tackle for no gain (tackle by Dion Jordan),3.910,3.360
2,13:02,2,10,SFO 25,7,14,Andy Dalton pass complete short right to Tony Pollard for 4 yards (tackle by Dre Greenlaw),3.360,3.200
2,12:25,3,6,SFO 21,7,14,Andy Dalton sacked by Arik Armstead for -9 yards,3.200,1.410
2,11:41,4,15,SFO 30,7,17,Greg Zuerlein 48 yard field goal good,1.410,3.000
2,11:37,,,DAL 35,7,17,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,11:37,1,10,SFO 25,7,17,Nick Mullens sacked by Jourdan Lewis for -8 yards,0.610,-1.150
2,10:58,2,18,SFO 17,7,17,Nick Mullens pass complete deep right to Richie James for 22 yards (tackle by Chidobe Awuzie),-1.150,1.530
2,10:35,1,10,SFO 39,7,17,Raheem Mostert left tackle for 2 yards (tackle by Trevon Diggs and Sean Lee),1.530,1.260
2,9:54,2,8,SFO 41,7,17,Raheem Mostert left tackle for 8 yards (tackle by Donovan Wilson),1.260,2.190
2,9:30,1,10,SFO 49,7,17,Nick Mullens pass complete short middle to Ross Dwelley for 19 yards (tackle by Donovan Wilson),2.190,3.450
2,9:03,1,10,DAL 32,7,17,Nick Mullens pass complete short left to Ross Dwelley for 9 yards (tackle by Trevon Diggs),3.450,4.120
2,8:18,2,1,DAL 23,7,17,Raheem Mostert right end for 10 yards (tackle by Jaylon Smith),4.120,4.710
2,7:34,1,10,DAL 13,7,17,Jeff Wilson up the middle for 5 yards (tackle by Chidobe Awuzie and Justin Hamilton),4.710,4.960
2,7:11,2,5,DAL 8,7,17,Jeff Wilson left tackle for 7 yards (tackle by Trevon Diggs and Donovan Wilson),4.960,6.970
2,6:30,1,1,DAL 1,7,17,Jeff Wilson up the middle for -1 yards (tackle by DeMarcus Lawrence),6.970,5.720
2,5:49,2,2,DAL 2,7,17,Nick Mullens pass incomplete short right intended for Kyle Juszczyk (defended by Jourdan Lewis),5.720,4.950
2,5:44,,,,,,Timeout #1 by San Francisco 49ers,,
2,5:44,3,2,DAL 2,7,17,Raheem Mostert up the middle for no gain (tackle by DeMarcus Lawrence and Xavier Woods),4.950,3.250
2,5:05,,,,,,Timeout #2 by San Francisco 49ers,,
2,5:05,4,2,DAL 2,13,17,"Nick Mullens pass complete short middle to Brandon Aiyuk for 2 yards, touchdown",3.250,7.000
2,5:00,,,DAL 15,14,17,Robbie Gould kicks extra point good,0.000,0.000
2,5:00,,,SFO 35,14,17,"Mitch Wishnowsky kicks off 66 yards, returned by Tony Pollard for 20 yards (tackle by Kai Nacua)",0.000,0.150
2,4:55,1,10,DAL 19,14,17,Andy Dalton pass complete short left to Noah Brown for 13 yards (tackle by Tarvarius Moore and Jimmie Ward),0.150,1.070
2,4:25,1,10,DAL 32,14,17,Rico Dowdle left guard for 5 yards (tackle by Kevin Givens and Arik Armstead),1.070,1.200
2,3:55,2,5,DAL 37,14,17,Andy Dalton pass complete short right to CeeDee Lamb for 8 yards (tackle by Arik Armstead),1.200,1.930
2,3:17,1,10,DAL 45,14,17,Rico Dowdle left end for 3 yards (tackle by Kerry Hyder),1.930,1.790
2,2:40,2,7,DAL 48,14,17,Andy Dalton pass incomplete deep left intended for Noah Brown (defended by Ahkello Witherspoon),1.790,1.090
2,2:35,3,7,DAL 48,14,17,Andy Dalton pass incomplete deep right intended for Noah Brown,1.090,-0.190
2,2:29,4,7,DAL 48,14,17,"Hunter Niswander punts 41 yards, fair catch by Trent Taylor at SF-11",-0.190,0.370
2,2:21,1,10,SFO 11,14,17,Raheem Mostert up the middle for 1 yard (tackle by Jaylon Smith),-0.370,-0.710
2,2:00,2,9,SFO 12,14,17,Nick Mullens pass complete short left to Brandon Aiyuk for -3 yards (tackle by Jourdan Lewis),-0.710,-1.650
2,1:14,,,,,,Timeout #3 by San Francisco 49ers,,
2,1:14,3,12,SFO 9,14,17,Nick Mullens pass incomplete short right,-1.650,-2.490
2,1:09,4,12,SFO 9,14,17,"Mitch Wishnowsky punts 47 yards, fair catch by CeeDee Lamb at DAL-44",-2.490,-1.860
2,1:01,1,10,DAL 44,14,17,Andy Dalton pass incomplete short left,1.860,1.320
2,0:55,2,10,DAL 44,14,17,Andy Dalton sacked by Arik Armstead for -8 yards,1.320,-0.430
2,0:48,,,,,,Timeout #2 by Dallas Cowboys,,
2,0:48,3,18,DAL 36,14,17,Andy Dalton pass complete deep middle to CeeDee Lamb for 22 yards (tackle by Jimmie Ward). Penalty on Javon Kinlaw: Defensive Offside (Declined),-0.430,2.790
2,0:40,1,10,SFO 42,14,17,Andy Dalton pass incomplete short middle intended for CeeDee Lamb,2.790,2.240
2,0:33,2,10,SFO 42,14,17,Andy Dalton pass incomplete short right intended for Tony Pollard,2.240,1.550
2,0:29,3,10,SFO 42,14,17,Andy Dalton pass incomplete short middle intended for CeeDee Lamb,1.550,0.460
2,0:27,4,10,SFO 42,14,17,Greg Zuerlein 60 yard field goal no good,0.460,-2.260
2,0:22,1,10,SFO 50,14,17,"Nick Mullens pass complete short left to Raheem Mostert for 8 yards (tackle by Donovan Wilson). Penalty on Trent Williams: Offensive Holding, 10 yards (no play)",2.260,1.600
2,0:14,1,20,SFO 40,14,17,Nick Mullens pass complete short right to Richie James for 4 yards (tackle by Chidobe Awuzie),1.600,0.900
Quarter,Time,Down,ToGo,Location,SFO,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,14,17,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DAL 25,14,17,Tony Pollard left tackle for -1 yards (tackle by Javon Kinlaw),0.610,-0.070
3,14:23,2,11,DAL 24,14,17,Tony Pollard left guard for 2 yards (tackle by Fred Warner),-0.070,-0.490
3,13:54,3,9,DAL 26,14,17,Andy Dalton left end for 6 yards (tackle by Javon Kinlaw and Dre Greenlaw). Penalty on Brandon Knight: Illegal Formation (Declined),-0.490,-1.240
3,13:40,4,3,DAL 32,14,17,"Hunter Niswander punts 53 yards, returned by Trent Taylor for 14 yards (tackle by Darian Thompson and Francis Bernard)",-1.240,-0.870
3,13:29,1,10,SFO 29,14,17,Raheem Mostert left tackle for 1 yard (tackle by Neville Gallimore and DeMarcus Lawrence),0.870,0.460
3,12:51,2,9,SFO 30,14,17,"Nick Mullens pass complete deep middle to Richie James for 23 yards (tackle by Donovan Wilson). Penalty on Donovan Wilson: Lowering the Head to Initiate Contact, 15 yards",0.460,3.450
3,12:18,1,10,DAL 32,14,17,Nick Mullens pass incomplete deep right intended for Brandon Aiyuk,3.450,2.900
3,12:10,2,10,DAL 32,14,17,Jeff Wilson right end for 9 yards (tackle by Xavier Woods),2.900,3.400
3,11:37,3,1,DAL 23,14,17,Jeff Wilson up the middle for no gain (tackle by Dorance Armstrong and Eli Ankou),3.400,2.080
3,10:52,4,1,DAL 23,17,17,Robbie Gould 41 yard field goal good,2.080,3.000
3,10:48,,,SFO 35,17,17,"Mitch Wishnowsky kicks off 63 yards, returned by Rico Dowdle for 25 yards (tackle by Marcell Harris)",0.000,0.740
3,10:40,1,10,DAL 27,17,17,Andy Dalton pass complete short middle to CeeDee Lamb for 1 yard (tackle by Ahkello Witherspoon),0.740,0.330
3,10:11,2,9,DAL 28,17,17,Andy Dalton pass complete short left to Michael Gallup for 12 yards (tackle by Tarvarius Moore and Dre Greenlaw),0.330,1.600
3,9:27,1,10,DAL 40,17,17,Rico Dowdle left tackle for 1 yard (tackle by Azeez Al-Shaair),1.600,1.190
3,8:45,2,9,DAL 41,17,17,Andy Dalton pass complete short right to Dalton Schultz for 2 yards (tackle by Richard Sherman and Arik Armstead),1.190,0.760
3,8:06,3,7,DAL 43,17,17,Andy Dalton pass complete deep right to CeeDee Lamb for 45 yards (tackle by Tarvarius Moore),0.760,4.780
