Unnamed: 0,NWE,SDG
First Downs,18,21
Rush-Yds-TDs,21-51-0,33-148-3
Cmp-Att-Yd-TD-INT,27-51-280-2-3,14-32-230-0-1
Sacked-Yards,2-4,3-26
Net Pass Yards,276,204
Total Yards,327,352
Fumbles-Lost,2-0,3-3
Turnovers,3,4
Penalties-Yards,4-45,6-64
Third Down Conv.,4-17,5-14
Fourth Down Conv.,0-1,1-2
Time of Possession,29:06,30:54
