Quarter,Time,Tm,Detail,TAM,CAR
1.0,7:11,Buccaneers,Earnest Graham 14 yard pass from Josh Freeman (Connor Barth kick),7,0
2.0,11:43,Panthers,Steve Smith Sr. 37 yard pass from Matt Moore (John Kasay kick),7,7
,7:43,Buccaneers,Mike Williams 35 yard pass from Josh Freeman (Connor Barth kick),14,7
3.0,7:40,Buccaneers,Connor Barth 24 yard field goal,17,7
4.0,14:46,Buccaneers,Connor Barth 33 yard field goal,20,7
