Unnamed: 0,TAM,CAR
First Downs,14,16
Rush-Yds-TDs,34-95-0,33-119-0
Cmp-Att-Yd-TD-INT,12-25-178-2-0,13-29-184-1-2
Sacked-Yards,0-0,4-25
Net Pass Yards,178,159
Total Yards,273,278
Fumbles-Lost,0-0,2-1
Turnovers,0,3
Penalties-Yards,4-30,4-48
Third Down Conv.,6-14,5-16
Fourth Down Conv.,0-0,3-4
Time of Possession,30:49,29:11
