Unnamed: 0,NOR,ATL
First Downs,18,26
Rush-Yds-TDs,19-151-1,38-201-2
Cmp-Att-Yd-TD-INT,23-34-269-2-0,20-33-215-0-0
Sacked-Yards,4-35,0-0
Net Pass Yards,234,215
Total Yards,385,416
Fumbles-Lost,1-1,3-2
Turnovers,1,2
Penalties-Yards,8-99,8-55
Third Down Conv.,4-13,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,26:16,33:44
