Quarter,Time,Tm,Detail,NOR,ATL
1.0,10:40,Falcons,Younghoe Koo 54 yard field goal,0,3
,5:44,Saints,Taysom Hill 11 yard rush (Wil Lutz kick),7,3
2.0,12:12,Falcons,Cordarrelle Patterson 5 yard rush (Younghoe Koo kick),7,10
,1:06,Falcons,Younghoe Koo 50 yard field goal,7,13
,0:00,Falcons,Younghoe Koo 40 yard field goal,7,16
3.0,9:15,Saints,Wil Lutz 49 yard field goal,10,16
,6:49,Falcons,Marcus Mariota 2 yard rush (Younghoe Koo kick),10,23
4.0,12:41,Falcons,Younghoe Koo 27 yard field goal,10,26
,11:12,Saints,Michael Thomas 3 yard pass from Jameis Winston (Chris Olave pass from Jameis Winston),18,26
,3:38,Saints,Michael Thomas 9 yard pass from Jameis Winston (run failed),24,26
,0:19,Saints,Wil Lutz 51 yard field goal,27,26
