Quarter,Time,Down,ToGo,Location,NOR,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"Mitch Berger kicks off 68 yards, returned by Jake Schifino for 21 yards (tackle by Fred McAfee)",0.000,0.480
1,14:54,1,10,TEN 23,0,0,Steve McNair pass complete to Derrick Mason for 17 yards (tackle by Fred Thomas),0.480,1.600
1,14:15,1,10,TEN 40,0,0,Eddie George left tackle for 1 yard (tackle by Roger Knight),1.600,1.190
1,13:35,2,9,TEN 41,0,0,Eddie George left end for 10 yards (tackle by Derrick Rodgers and Tebucky Jones),1.190,2.320
1,12:51,1,10,NOR 49,0,0,Steve McNair pass complete to Justin McCareins for 14 yards (tackle by Ashley Ambrose),2.320,3.250
1,12:09,1,10,NOR 35,0,0,Eddie George up the middle for 1 yard (tackle by Charles Grant),3.250,2.840
1,11:29,2,9,NOR 34,0,0,"Penalty on Kenny Smith: Encroachment, 6 yards (no play)",2.840,3.650
1,11:15,2,3,NOR 28,0,0,Eddie George left end for -1 yards (tackle by Jay Bellamy),3.650,2.810
1,10:30,3,4,NOR 29,0,0,Steve McNair pass complete to Drew Bennett for 5 yards (tackle by Darrin Smith),2.810,3.970
1,9:51,1,10,NOR 24,0,0,Steve McNair pass complete to Derrick Mason for 13 yards (tackle by Fred Thomas),3.970,4.840
1,9:07,1,10,NOR 11,0,0,Eddie George up the middle for 5 yards (tackle by Darrin Smith),4.840,5.080
1,8:30,2,5,NOR 6,0,0,Steve McNair pass incomplete intended for Derrick Mason,5.080,4.210
1,8:27,3,5,NOR 6,0,0,Steve McNair pass complete to Shad Meier for 2 yards (tackle by Jay Bellamy),4.210,3.030
1,7:48,4,3,NOR 4,0,3,Gary Anderson 22 yard field goal good,3.030,3.000
1,,,,TEN 30,0,3,"Craig Hentrich kicks off 53 yards, returned by Michael Lewis for 15 yards (tackle by Brad Kassell)",,
1,7:44,1,10,NOR 32,0,3,Aaron Brooks pass incomplete intended for Jerome Pathon,1.070,0.530
1,7:38,2,10,NOR 32,0,3,Aaron Brooks pass complete to Boo Williams for 1 yard (tackle by Lance Schulters),0.530,-0.030
1,6:56,3,9,NOR 33,0,3,Aaron Brooks right end for 5 yards (tackle by Lance Schulters),-0.030,-0.850
1,6:18,4,4,NOR 38,2,3,"Mitch Berger punts 46 yards, returned by Justin McCareins for -2 yards (tackle by Keyuo Craver). Justin McCareins fumbles (forced by Keyuo Craver), recovered by Tony Beckham at TEN-2, safety. Penalty on Tony Beckham: Illegal Forward Pass (Declined)",-0.850,2.000
1,,,,TEN 20,2,3,--,0.000,3.050
1,6:00,1,10,NOR 38,2,3,Steve McNair pass complete to Erron Kinney for 14 yards (tackle by Derrick Rodgers),3.050,3.970
1,6:00,1,10,NOR 24,2,3,Steve McNair pass complete to Justin McCareins for 7 yards (tackle by Fred Thomas),3.970,4.460
1,6:00,2,3,NOR 17,2,3,Eddie George right guard for 4 yards (tackle by Willie Whitehead),4.460,4.710
1,4:07,1,10,NOR 13,2,3,Eddie George left tackle for 5 yards (tackle by Jay Bellamy),4.710,4.960
1,4:07,2,5,NOR 8,2,3,Eddie George right end for 6 yards (tackle by Derrick Rodgers),4.960,6.740
1,2:41,1,2,NOR 2,2,3,Eddie George right tackle for no gain (tackle by Charles Grant),6.740,5.720
1,2:41,2,2,NOR 2,2,9,"Steve McNair pass complete to Justin McCareins for 2 yards, touchdown",5.720,7.000
1,,,,NOR 2,2,10,Gary Anderson kicks extra point good,0.000,0.000
1,,,,TEN 30,2,10,"Craig Hentrich kicks off 55 yards, returned by Michael Lewis for 26 yards (tackle by Justin McCareins)",0.000,1.660
1,1:47,1,10,NOR 41,2,10,Deuce McAllister up the middle for 1 yard (tackle by James H. Atkins and Jevon Kearse),1.660,1.260
1,1:08,2,9,NOR 42,2,10,Deuce McAllister right tackle for -2 yards (tackle by Kevin Carter and James H. Atkins),1.260,0.300
1,0:30,3,11,NOR 40,2,10,Aaron Brooks pass complete to Donte Stallworth for 15 yards (tackle by Andre Woolfolk),0.300,2.590
Quarter,Time,Down,ToGo,Location,NOR,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TEN 45,2,10,Deuce McAllister right tackle for -5 yards (tackle by Rocky Calmus),2.590,1.370
2,14:19,2,15,TEN 50,2,10,Aaron Brooks pass complete to Ernie Conwell for 9 yards (tackle by Keith Bulluck),1.370,1.880
2,13:35,3,6,TEN 41,2,10,Deuce McAllister up the middle for -3 yards (tackle by Peter Sirmon and Juqua Parker),1.880,0.330
2,12:57,4,9,TEN 44,2,10,Mitch Berger punts 41 yards,0.330,0.380
2,12:56,1,10,TEN 3,2,10,Eddie George up the middle for 3 yards (tackle by Kenny Smith),-0.380,-0.560
2,12:18,2,7,TEN 6,2,10,Steve McNair pass complete to Drew Bennett for 15 yards (tackle by Ashley Ambrose),-0.560,0.340
2,11:36,1,10,TEN 21,2,10,Eddie George left end for 2 yards (tackle by Kenny Smith),0.340,0.070
2,10:52,2,8,TEN 23,2,10,Steve McNair pass complete to Shad Meier for 20 yards (tackle by Ashley Ambrose),0.070,1.800
2,10:08,1,10,TEN 43,2,10,Steve McNair pass incomplete intended for Eddie George,1.800,1.250
2,10:04,2,10,TEN 43,2,10,Eddie George up the middle for 4 yards (tackle by Darrin Smith),1.250,1.090
2,9:19,3,6,TEN 47,2,10,Steve McNair pass incomplete intended for Justin McCareins,1.090,-0.260
2,9:19,4,6,TEN 47,2,10,Craig Hentrich pass complete to Justin McCareins for 15 yards (tackle by Fred Thomas),-0.260,3.050
2,8:19,1,10,NOR 38,2,10,Eddie George right end for -4 yards (tackle by Ashley Ambrose),3.050,1.970
2,7:37,2,14,NOR 42,2,10,Steve McNair pass complete to Eddie George for 4 yards (tackle by Roger Knight),1.970,1.820
2,6:48,,,,2,10,Timeout #1 by Tennessee Titans,0.000,1.820
2,6:48,3,10,NOR 38,2,10,Drew Bennett pass complete to Derrick Mason for 14 yards (tackle by Jay Bellamy),1.820,3.970
2,6:08,1,10,NOR 24,2,10,Steve McNair pass incomplete intended for Drew Bennett,3.970,3.430
2,6:08,2,10,NOR 24,2,10,Eddie George right tackle for -1 yards (tackle by Grady Jackson),3.430,2.610
2,5:20,3,11,NOR 25,2,10,Steve McNair pass incomplete intended for Justin McCareins,2.610,1.800
2,5:20,4,11,NOR 25,2,13,Gary Anderson 43 yard field goal good,1.800,3.000
2,,,,TEN 30,2,13,"Craig Hentrich kicks off 66 yards, returned by Michael Lewis for 26 yards (tackle by Scott McGarrahan)",0.000,0.940
2,5:06,1,10,NOR 30,2,13,Deuce McAllister left guard for no gain (tackle by Rocky Calmus),0.940,0.390
2,4:29,2,10,NOR 30,2,13,Aaron Brooks pass complete to Ernie Conwell for 4 yards (tackle by Andre Woolfolk),0.390,0.230
2,3:52,3,6,NOR 34,2,13,Aaron Brooks pass complete to Jerome Pathon for 38 yards (tackle by Tank Williams),0.230,3.710
2,3:04,1,10,TEN 28,2,13,Aaron Brooks pass complete to Ernie Conwell for 19 yards (tackle by Andre Dyson),3.710,5.140
2,2:21,1,9,TEN 9,2,13,Aaron Brooks pass incomplete intended for Ernie Conwell,5.140,4.380
2,2:16,2,9,TEN 9,2,13,Aaron Brooks sacked by Robaire Smith for -4 yards,4.380,3.060
2,2:00,3,13,TEN 13,2,13,Aaron Brooks pass incomplete intended for Donte Stallworth,3.060,2.570
2,1:51,,,,2,13,Timeout #1 by New Orleans Saints,0.000,2.570
2,1:50,4,13,TEN 13,5,13,John Carney 31 yard field goal good,2.570,3.000
2,,,,NOR 30,5,13,"Mitch Berger kicks off 64 yards, returned by Jake Schifino for 26 yards (tackle by Michael Lewis)",0.000,1.070
2,1:41,1,10,TEN 32,5,13,Steve McNair pass complete to Drew Bennett for 35 yards (tackle by Fakhir Brown),1.070,3.380
2,1:32,1,10,NOR 33,5,13,Steve McNair pass complete to Drew Bennett for 13 yards (tackle by Ashley Ambrose),3.380,4.240
2,1:05,1,10,NOR 20,5,13,Steve McNair pass complete to Drew Bennett for 8 yards (tackle by Ashley Ambrose),4.240,5.040
2,1:01,2,2,NOR 12,5,13,Steve McNair pass complete to Justin McCareins for 6 yards (tackle by Ashley Ambrose),5.040,5.830
2,0:57,1,6,NOR 6,5,13,Robert Holcombe up the middle for 1 yard (tackle by Willie Whitehead),5.830,5.150
2,0:29,2,5,NOR 5,5,13,Steve McNair sacked by Grady Jackson for -1 yards,5.150,4.040
2,0:22,,,,5,13,Timeout #2 by Tennessee Titans,0.000,4.040
2,0:22,3,6,NOR 6,5,13,"Steve McNair sacked for -2 yards. Steve McNair fumbles, recovered by Kenny Smith at NOR-3 (tackle by Zach Piller)",4.040,0.380
2,0:15,1,10,NOR 3,5,13,Aaron Brooks kneels for no gain,-0.380,-0.780
2,0:14,,,,5,13,Timeout #3 by Tennessee Titans,0.000,-0.780
2,0:14,2,10,NOR 3,5,13,Aaron Brooks kneels for -1 yards,-0.780,-1.540
Quarter,Time,Down,ToGo,Location,NOR,TEN,Detail,EPB,EPA
