Quarter,Time,Tm,Detail,BUF,CIN
1.0,4:48,Bengals,Rudi Johnson 3 yard rush (Shayne Graham kick),0,7
,4:07,Bills,Lee Evans 5 yard pass from Drew Bledsoe (Rian Lindell kick),7,7
,3:37,Bills,Jason Peters blocked punt recovery in end zone (Rian Lindell kick),14,7
2.0,12:36,Bills,Takeo Spikes 62 yard interception return (Rian Lindell kick),21,7
,6:53,Bengals,Shayne Graham 24 yard field goal,21,10
,1:13,Bills,Rian Lindell 23 yard field goal,24,10
,0:00,Bills,Rian Lindell 39 yard field goal,27,10
4.0,12:58,Bills,Rian Lindell 21 yard field goal,30,10
,5:31,Bills,Rian Lindell 33 yard field goal,33,10
,3:09,Bengals,Matt Schobel 4 yard pass from Jon Kitna (Shayne Graham kick),33,17
