Quarter,Time,Down,ToGo,Location,BUF,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Rian Lindell kicks off 69 yards, returned by Kenny Watson for 12 yards (tackle by Jason Peters)",0.000,-0.320
1,14:53,1,10,CIN 13,0,0,"Penalty on Rudi Johnson: False Start, 5 yards (no play)",-0.320,-0.570
1,14:53,1,15,CIN 8,0,0,Jon Kitna pass incomplete intended for T.J. Houshmandzadeh,-0.570,-1.150
1,14:45,2,15,CIN 8,0,0,Rudi Johnson left end for 6 yards (tackle by London Fletcher),-1.150,-1.300
1,14:06,3,9,CIN 14,0,0,Jon Kitna pass complete to Kelley Washington for 15 yards (tackle by Terrence McGee),-1.300,0.870
1,13:47,1,10,CIN 29,0,0,Jon Kitna pass complete to T.J. Houshmandzadeh for 6 yards (tackle by Kevin Thomas),0.870,1.140
1,13:15,2,4,CIN 35,0,0,Jon Kitna pass complete to Chad Johnson for 3 yards (tackle by Chris Kelsay),1.140,0.830
1,12:34,3,1,CIN 38,0,0,Jon Kitna pass incomplete intended for Kelley Washington,0.830,-0.850
1,12:29,4,1,CIN 38,0,0,"Kyle Larson punts 30 yards, muffed catch by Shaud Williams, recovered by Shaud Williams and returned for no gain",-0.850,-1.140
1,12:19,1,10,BUF 33,0,0,Drew Bledsoe pass complete to Eric Moulds for 5 yards (tackle by Brian Simmons),1.140,1.270
1,11:46,2,5,BUF 38,0,0,Willis McGahee right guard for 2 yards (tackle by Madieu Williams),1.270,0.830
1,11:06,3,3,BUF 40,0,0,Drew Bledsoe pass incomplete intended for Sam Aiken,0.830,-0.720
1,11:02,4,3,BUF 40,0,0,"Brian Moorman punts 60 yards, touchback",-0.720,-0.280
,,,,,,,"BUF challenged the ruling, and the play was upheld.",,
1,10:52,1,10,CIN 20,0,0,Jon Kitna up the middle for 1 yard (tackle by Troy Vincent),0.280,-0.130
1,10:23,2,9,CIN 21,0,0,Rudi Johnson right end for 5 yards (tackle by London Fletcher and Lawyer Milloy),-0.130,-0.160
1,9:46,3,4,CIN 26,0,0,Jon Kitna sacked by London Fletcher for -10 yards,-0.160,-2.390
1,9:15,4,14,CIN 16,0,0,"Kyle Larson punts 42 yards. Penalty on Rashad Baker: Illegal Block Above the Waist, 10 yards",-2.390,-1.070
1,9:05,1,10,BUF 32,0,0,Willis McGahee right tackle for -2 yards (tackle by Landon Johnson),1.070,0.260
1,8:23,2,12,BUF 30,0,0,Willis McGahee left guard for 4 yards (tackle by John Thornton),0.260,0.100
1,7:41,2,12,BUF 30,0,0,Timeout #2 by Buffalo Bills,0.260,0.100
1,7:41,3,8,BUF 34,0,0,"Drew Bledsoe pass complete to Lee Evans for 6 yards (tackle by Tory James). Lee Evans fumbles (forced by Tory James), recovered by Keiwan Ratliff at BUF-40 (tackle by Trey Teague)",0.100,-2.920
1,7:30,1,10,BUF 40,0,0,Rudi Johnson right tackle for 5 yards (tackle by Lawyer Milloy),2.920,3.050
1,7:02,2,5,BUF 35,0,0,Rudi Johnson right guard for 2 yards (tackle by Chris Kelsay),3.050,2.610
1,6:32,3,3,BUF 33,0,0,Kenny Watson for 4 yards,2.610,3.640
1,6:22,1,10,BUF 29,0,0,"Jon Kitna pass incomplete intended for Chad Johnson. Penalty on Nate Clements: Defensive Pass Interference, 12 yards, Penalty on Kevin Thomas: Illegal Contact (Declined) (no play)",3.640,4.440
1,6:11,1,10,BUF 17,0,0,Rudi Johnson left guard for 11 yards (tackle by Lawyer Milloy),4.440,5.830
1,5:33,1,6,BUF 6,0,0,Jon Kitna left end for 3 yards (tackle by Chris Kelsay),5.830,5.530
1,4:54,2,3,BUF 3,0,6,"Rudi Johnson right guard for 3 yards, touchdown",5.530,7.000
1,4:54,,,BUF 2,0,7,Shayne Graham kicks extra point good,0.000,0.000
1,4:54,,,CIN 30,0,7,"Shayne Graham kicks off 56 yards, returned by London Fletcher for 21 yards (tackle by Shayne Graham)",0.000,1.270
1,4:42,1,10,BUF 35,0,7,--,1.270,6.060
1,4:20,1,5,CIN 5,0,7,Drew Bledsoe pass incomplete intended for Lee Evans,6.060,5.150
1,4:18,2,5,CIN 5,0,7,Drew Bledsoe pass incomplete intended for Eric Moulds,5.150,4.260
1,4:12,3,5,CIN 5,6,7,"Drew Bledsoe pass complete to Lee Evans for 5 yards, touchdown",4.260,7.000
1,4:12,,,CIN 2,7,7,Rian Lindell kicks extra point good,0.000,0.000
1,4:12,,,BUF 30,7,7,"Rian Lindell kicks off 64 yards, returned by Cliff Russell for 17 yards (tackle by Rashad Baker)",0.000,0.480
1,4:02,1,10,CIN 23,7,7,Jon Kitna pass incomplete intended for Rudi Johnson (defended by Ryan Denney),0.480,-0.070
1,3:57,2,10,CIN 23,7,7,Jon Kitna pass incomplete intended for Kelley Washington (defended by Terrence McGee),-0.070,-0.760
1,3:52,3,10,CIN 23,7,7,Jon Kitna pass incomplete intended for Chad Johnson,-0.760,-1.830
1,3:47,4,10,CIN 23,13,7,"Kyle Larson punts, blocked by Jason Peters, recovered by Jason Peters, touchdown",-1.830,-7.000
1,3:37,,,CIN 2,14,7,Rian Lindell kicks extra point good,0.000,0.000
1,3:37,,,BUF 30,14,7,"Rian Lindell kicks off 57 yards, returned by Cliff Russell for 14 yards (tackle by Mario Haggan)",0.000,0.740
1,3:32,1,10,CIN 27,14,7,Rudi Johnson left guard for 9 yards (tackle by London Fletcher),0.740,1.410
1,2:56,2,1,CIN 36,14,7,Rudi Johnson up the middle for 2 yards (tackle by Pat Williams and Jeff Posey),1.410,1.470
1,2:13,1,10,CIN 38,14,7,Chad Johnson right end for 2 yards (tackle by Ryan Denney),1.470,1.190
1,1:40,2,8,CIN 40,14,7,Jon Kitna pass complete to Reggie Kelly for 10 yards (tackle by Terrence McGee and Lawyer Milloy),1.190,2.260
1,0:59,1,10,,14,7,Rudi Johnson left guard for 8 yards (tackle by Nate Clements). Penalty on Aaron Schobel: Defensive Offside (Declined),2.260,2.790
1,0:49,2,2,BUF 42,14,7,Rudi Johnson right guard for 5 yards (tackle by Ryan Denney and Pat Williams),2.790,3.120
1,0:08,1,10,BUF 37,14,7,Jon Kitna pass complete to Chad Johnson for 7 yards (tackle by Lawyer Milloy),3.120,3.520
Quarter,Time,Down,ToGo,Location,BUF,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,BUF 30,14,7,Rudi Johnson left tackle for 2 yards (tackle by Pat Williams and Sam Adams),3.520,3.070
