Unnamed: 0,BUF,CIN
First Downs,13,16
Rush-Yds-TDs,29-43-0,31-149-1
Cmp-Att-Yd-TD-INT,15-30-183-1-0,16-32-151-1-2
Sacked-Yards,2-14,3-25
Net Pass Yards,169,126
Total Yards,212,275
Fumbles-Lost,5-1,3-2
Turnovers,1,4
Penalties-Yards,4-37,7-62
Third Down Conv.,3-13,6-15
Fourth Down Conv.,0-1,2-2
Time of Possession,28:57,31:03
