Quarter,Time,Down,ToGo,Location,MIN,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DET 25,0,0,Matthew Stafford pass incomplete short middle intended for Kerryon Johnson (defended by Eric Kendricks),0.610,0.060
1,14:56,2,10,DET 25,0,0,"Kerryon Johnson up the middle for 6 yards (tackle by Linval Joseph and Eric Kendricks). Penalty on Shamar Stephen: Defensive Holding, 5 yards",0.060,1.330
1,14:32,1,10,DET 36,0,0,Kerryon Johnson left tackle for 3 yards (tackle by Eric Kendricks),1.330,1.200
1,14:00,2,7,DET 39,0,0,Matthew Stafford pass incomplete short left intended for Marvin Jones,1.200,0.500
1,13:54,3,7,DET 39,0,0,Matthew Stafford pass complete short right to J.D. McKissic for 22 yards (tackle by Harrison Smith),0.500,2.980
1,13:24,1,10,MIN 39,0,0,J.D. McKissic up the middle for 2 yards (tackle by Linval Joseph),2.980,2.710
1,12:54,2,8,MIN 37,0,0,Matthew Stafford pass incomplete short right intended for Jesse James,2.710,2.020
1,12:48,3,8,MIN 37,0,0,Matthew Stafford pass incomplete short right intended for Jesse James,2.020,0.790
1,12:46,4,8,MIN 37,0,0,"Penalty on Don Muhlbach: False Start, 5 yards (no play)",0.790,0.460
1,12:46,4,13,MIN 42,0,0,Sam Martin punts 33 yards downed by Logan Thomas,0.460,0.380
1,12:37,1,10,MIN 9,0,0,Kirk Cousins pass complete short left to Stefon Diggs for 15 yards (tackle by Quandre Diggs),-0.380,0.540
1,11:57,1,10,MIN 24,0,0,Dalvin Cook left tackle for 1 yard (tackle by Jahlani Tavai),0.540,0.130
1,11:19,2,9,MIN 25,0,0,Kirk Cousins pass incomplete short left intended for Adam Thielen,0.130,-0.560
1,11:15,3,9,MIN 25,0,0,"Kirk Cousins pass complete short right to Irv Smith Jr. for 8 yards (tackle by Tracy Walker). Irv Smith Jr. fumbles, ball out of bounds at MIN-33 (forced by Tracy Walker)",-0.560,-1.180
1,10:46,4,1,MIN 33,0,0,"Britton Colquitt punts 44 yards, fair catch by Jamal Agnew at DET-23",-1.180,-0.480
1,10:37,1,10,DET 23,0,0,Kerryon Johnson left tackle for 6 yards (tackle by Anthony Harris),0.480,0.740
1,10:07,2,4,DET 29,0,0,"Matthew Stafford pass incomplete deep left intended for Marvin Jones. Penalty on Xavier Rhodes: Defensive Pass Interference, 31 yards (no play)",0.740,2.920
1,10:00,1,10,MIN 40,0,0,Ty Johnson up the middle for 4 yards (tackle by Anthony Barr),2.920,2.910
1,9:24,2,6,MIN 36,0,0,Matthew Stafford pass complete short right to Jesse James for 7 yards (tackle by Harrison Smith),2.910,3.640
1,8:45,1,10,MIN 29,0,0,Matthew Stafford pass incomplete short middle intended for Danny Amendola (defended by Anthony Barr),3.640,3.100
1,8:41,2,10,MIN 29,0,0,Ty Johnson left end for 1 yard (tackle by Eric Wilson and Eric Kendricks),3.100,2.540
1,8:04,3,9,MIN 28,0,0,Matthew Stafford pass complete short right to Danny Amendola for 12 yards. Penalty on Trae Waynes: Defensive Holding (Declined),2.540,4.510
1,7:41,1,10,MIN 16,0,6,"Matthew Stafford pass complete short right to Marvin Jones for 16 yards, touchdown",4.510,7.000
1,7:34,,,MIN 15,0,7,Matt Prater kicks extra point good,0.000,0.000
1,7:34,,,DET 35,0,7,"Sam Martin kicks off 61 yards, returned by Ameer Abdullah for 23 yards (tackle by Will Harris)",0.000,0.740
1,7:27,1,10,MIN 27,0,7,Dalvin Cook right end for 15 yards (tackle by Quandre Diggs),0.740,1.730
1,7:07,1,10,MIN 42,0,7,Dalvin Cook left end for 2 yards (tackle by Trey Flowers and Darius Slay),1.730,1.460
1,6:30,2,8,MIN 44,0,7,Kirk Cousins pass complete deep left to Irv Smith Jr. for 28 yards (tackle by Rashaan Melvin),1.460,3.710
1,6:00,1,10,DET 28,0,7,Alexander Mattison right tackle for 3 yards (tackle by Devon Kennard),3.710,3.570
1,5:23,2,7,DET 25,6,7,"Kirk Cousins pass complete deep left to Adam Thielen for 25 yards, touchdown",3.570,7.000
1,5:14,,,DET 15,7,7,Dan Bailey kicks extra point good,0.000,0.000
1,5:14,,,MIN 35,7,7,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
1,5:14,1,10,DET 25,7,7,Kerryon Johnson left end for 2 yards (tackle by Xavier Rhodes),0.610,0.330
1,4:46,2,8,DET 27,7,7,Kerryon Johnson left end for 6 yards (tackle by Anthony Barr),0.330,0.430
1,4:08,3,2,DET 33,7,7,Matthew Stafford pass complete short right to Marvin Jones for 4 yards (tackle by Anthony Harris),0.430,1.400
1,3:33,1,10,DET 37,7,7,Matthew Stafford pass complete short left to Danny Amendola for 36 yards (tackle by Xavier Rhodes),1.400,3.780
1,2:52,1,10,MIN 27,7,7,Ty Johnson up the middle for 5 yards (tackle by Eric Kendricks and Anthony Barr),3.780,3.910
1,2:16,2,5,MIN 22,7,7,Matthew Stafford pass complete short middle to Ty Johnson for 9 yards (tackle by Harrison Smith),3.910,4.710
1,1:43,1,10,MIN 13,7,7,Ty Johnson up the middle for 1 yard (tackle by Everson Griffen and Anthony Harris),4.710,4.220
1,1:06,2,9,MIN 12,7,7,"Matthew Stafford pass incomplete short right intended for T.J. Hockenson. Penalty on Danielle Hunter: Defensive Holding, 5 yards (no play)",4.220,5.600
1,0:58,1,7,MIN 7,7,7,Ty Johnson left end for 4 yards (tackle by Anthony Harris and Eric Kendricks),5.600,5.530
1,0:17,2,3,MIN 3,7,13,"Matthew Stafford pass complete short left to Marvin Jones for 3 yards, touchdown",5.530,7.000
1,0:13,,,MIN 15,7,14,Matt Prater kicks extra point good,0.000,0.000
1,0:13,,,DET 35,7,14,"Sam Martin kicks off 64 yards, returned by Ameer Abdullah for 38 yards (tackle by Will Harris)",0.000,1.530
