Quarter,Time,Tm,Detail,MIN,DET
1.0,7:34,Lions,Marvin Jones 16 yard pass from Matthew Stafford (Matt Prater kick),0,7
,5:14,Vikings,Adam Thielen 25 yard pass from Kirk Cousins (Dan Bailey kick),7,7
,0:13,Lions,Marvin Jones 3 yard pass from Matthew Stafford (Matt Prater kick),7,14
2.0,12:39,Vikings,Olabisi Johnson 1 yard pass from Kirk Cousins (Dan Bailey kick),14,14
,3:26,Vikings,Dalvin Cook 8 yard rush (Dan Bailey kick),21,14
,0:02,Lions,Marvin Jones 10 yard pass from Matthew Stafford (Matt Prater kick),21,21
3.0,9:02,Vikings,C.J. Ham 5 yard pass from Kirk Cousins (Dan Bailey kick),28,21
,3:22,Lions,Matt Prater 46 yard field goal,28,24
4.0,5:40,Vikings,Kyle Rudolph 15 yard pass from Kirk Cousins (Dan Bailey kick),35,24
,3:05,Lions,Marvin Jones 2 yard pass from Matthew Stafford (pass failed),35,30
,1:55,Vikings,Dalvin Cook 4 yard rush (Dan Bailey kick),42,30
