Unnamed: 0,MIN,DET
First Downs,32,26
Rush-Yds-TDs,37-166-2,20-81-0
Cmp-Att-Yd-TD-INT,24-34-338-4-0,30-45-364-4-1
Sacked-Yards,0-0,2-12
Net Pass Yards,338,352
Total Yards,504,433
Fumbles-Lost,2-0,0-0
Turnovers,0,1
Penalties-Yards,6-60,8-67
Third Down Conv.,6-10,6-11
Fourth Down Conv.,0-0,0-1
Time of Possession,32:10,27:50
