Unnamed: 0,NYG,DET
First Downs,15,24
Rush-Yds-TDs,21-41-0,36-148-2
Cmp-Att-Yd-TD-INT,23-42-256-1-1,25-42-222-0-2
Sacked-Yards,2-18,2-15
Net Pass Yards,238,207
Total Yards,279,355
Fumbles-Lost,2-1,1-1
Turnovers,2,3
Penalties-Yards,5-30,7-60
Third Down Conv.,6-17,8-17
Fourth Down Conv.,1-1,0-0
Time of Possession,29:43,37:45
