Quarter,Time,Tm,Detail,KAN,OAK
1.0,7:52,Raiders,Sebastian Janikowski 25 yard field goal,0,3
,1:07,Chiefs,Connor Barth 38 yard field goal,3,3
2.0,11:57,Chiefs,Maurice Leggett 67 yard defensive fumble return (Connor Barth kick),10,3
3.0,11:13,Raiders,Justin Fargas 1 yard rush (Sebastian Janikowski kick),10,10
4.0,13:43,Chiefs,Larry Johnson 2 yard rush (Connor Barth kick),17,10
,8:54,Chiefs,Connor Barth 27 yard field goal,20,10
,2:55,Raiders,Sebastian Janikowski 51 yard field goal,20,13
