Quarter,Time,Down,ToGo,Location,KAN,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,OAK 30,0,0,"Sebastian Janikowski kicks off 69 yards, returned by Kevin Robinson for 19 yards (tackle by Tony Stewart)",0.000,0.280
1,14:53,1,10,KAN 20,0,0,Tyler Thigpen pass complete short right to Tony Gonzalez for 16 yards (tackle by Hiram Eugene),0.280,1.330
1,14:13,1,10,KAN 36,0,0,Larry Johnson up the middle for 4 yards (tackle by Hiram Eugene),1.330,1.330
1,13:33,2,6,KAN 40,0,0,Tyler Thigpen pass complete short middle to Tony Gonzalez for 10 yards (tackle by Gibril Wilson),1.330,2.260
1,12:50,1,10,,0,0,Larry Johnson up the middle for no gain (tackle by Tommy Kelly and Thomas Howard),2.260,1.710
1,12:04,2,10,,0,0,Tyler Thigpen pass incomplete short right intended for Tony Gonzalez,1.710,1.030
1,11:59,3,10,,0,0,Tyler Thigpen pass complete short middle to Will Franklin for 4 yards (tackle by Stanford Routt),1.030,0.200
1,11:23,4,6,OAK 46,0,0,"Dustin Colquitt punts 33 yards, fair catch by Johnnie Lee Higgins",0.200,0.320
1,11:15,1,10,OAK 13,0,0,JaMarcus Russell pass incomplete short right intended for Ashley Lelie,-0.320,-0.770
1,11:10,2,10,OAK 13,0,0,"JaMarcus Russell pass incomplete deep left intended for Darren McFadden. Penalty on Bernard Pollard: Defensive Pass Interference, 22 yards (no play)",-0.770,1.270
1,11:04,1,10,OAK 35,0,0,Justin Fargas right end for 7 yards (tackle by Derrick O. Johnson),1.270,1.670
1,10:33,2,3,OAK 42,0,0,JaMarcus Russell pass complete deep right to Zach Miller for 28 yards (tackle by Bernard Pollard),1.670,3.580
1,9:43,1,10,KAN 30,0,0,"JaMarcus Russell pass complete short left to Ronald Curry for -4 yards, lateral to Darren McFadden for 16 yards (tackle by Bernard Pollard)",3.580,4.650
1,9:14,1,10,KAN 14,0,0,Johnnie Lee Higgins right end for 7 yards (tackle by Brandon Carr),4.650,5.280
1,8:45,2,3,KAN 7,0,0,Darren McFadden up the middle for no gain (tackle by Rocky Boiman and Demorrio Williams),5.280,4.500
1,8:01,3,3,KAN 7,0,0,JaMarcus Russell pass incomplete short left intended for Zach Miller,4.500,2.990
1,7:56,4,3,KAN 7,0,3,Sebastian Janikowski 25 yard field goal good,2.990,3.000
1,,,,OAK 30,0,3,"Sebastian Janikowski kicks off 65 yards, returned by Kevin Robinson for 20 yards (tackle by Michael Huff)",0.000,0.610
1,7:47,1,10,KAN 25,0,3,Larry Johnson left tackle for 7 yards (tackle by Jon Alston and Kirk Morrison),0.610,1.010
1,7:11,2,3,KAN 32,0,3,Larry Johnson left tackle for 2 yards (tackle by Jon Alston),1.010,0.560
1,6:29,3,1,KAN 34,0,3,"Penalty on Herbert Taylor: False Start, 5 yards (no play)",0.560,-0.100
1,6:07,3,6,KAN 29,0,3,Tyler Thigpen pass complete short middle to Jamaal Charles for 15 yards (tackle by Rashad Baker),-0.100,1.860
1,5:40,1,10,KAN 44,0,3,Tyler Thigpen pass complete short middle to Tony Gonzalez for 11 yards (tackle by Hiram Eugene),1.860,2.590
1,5:00,1,10,OAK 45,0,3,Larry Johnson left tackle for -1 yards (tackle by Thomas Howard and Gerard Warren),2.590,1.910
1,4:23,2,11,OAK 46,0,3,Larry Johnson left guard for 8 yards (tackle by Derrick Burgess and Kirk Morrison),1.910,2.280
1,3:39,3,3,OAK 38,0,3,Tyler Thigpen pass complete short middle to Dwayne Bowe for 15 yards (tackle by Rashad Baker),2.280,4.040
1,3:09,1,10,OAK 23,0,3,Tyler Thigpen pass incomplete short middle intended for Larry Johnson,4.040,3.500
1,3:05,2,10,OAK 23,0,3,Larry Johnson up the middle for -3 yards (tackle by Terdell Sands),3.500,2.410
1,2:19,3,13,OAK 26,0,3,"Penalty on Tyler Thigpen: Delay of Game, 5 yards (no play)",2.410,1.750
1,1:53,3,18,OAK 31,0,3,Tyler Thigpen pass complete short middle to Tony Gonzalez for 11 yards (tackle by Gibril Wilson),1.750,2.120
1,1:12,4,7,OAK 20,3,3,Connor Barth 38 yard field goal good,2.120,3.000
1,,,,KAN 30,3,3,"Connor Barth kicks off 68 yards, returned by Justin Miller for 25 yards (tackle by Demorrio Williams)",0.000,0.740
1,1:01,1,10,OAK 27,3,3,Darren McFadden up the middle for 1 yard (tackle by Tamba Hali),0.740,0.330
1,0:30,2,9,OAK 28,3,3,Justin Fargas right end for 1 yard (tackle by Demorrio Williams),0.330,-0.230
