Unnamed: 0,OAK,SEA
First Downs,13,20
Rush-Yds-TDs,13-64-0,39-207-0
Cmp-Att-Yd-TD-INT,16-35-166-0-0,18-30-176-1-0
Sacked-Yards,9-45,3-12
Net Pass Yards,121,164
Total Yards,185,371
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,8-60,10-80
Third Down Conv.,3-15,4-16
Fourth Down Conv.,1-2,0-0
Time of Possession,24:21,35:39
