Quarter,Time,Tm,Detail,HOU,BAL
1.0,8:36,Ravens,Justin Tucker 53 yard field goal,0,3
,0:28,Texans,Ka'imi Fairbairn 50 yard field goal,3,3
2.0,9:14,Ravens,Nelson Agholor 3 yard pass from Lamar Jackson (Justin Tucker kick),3,10
,4:17,Texans,Steven Sims 67 yard punt return (Ka'imi Fairbairn kick),10,10
3.0,12:04,Ravens,Lamar Jackson 15 yard rush (Justin Tucker kick),10,17
4.0,14:23,Ravens,Isaiah Likely 15 yard pass from Lamar Jackson (Justin Tucker kick),10,24
,6:20,Ravens,Lamar Jackson 8 yard rush (Justin Tucker kick),10,31
,1:56,Ravens,Justin Tucker 43 yard field goal,10,34
