Unnamed: 0,CHI,TAM
First Downs,15,22
Rush-Yds-TDs,20-122-0,31-80-1
Cmp-Att-Yd-TD-INT,16-30-182-1-2,23-33-312-2-1
Sacked-Yards,4-21,4-32
Net Pass Yards,161,280
Total Yards,283,360
Fumbles-Lost,3-2,0-0
Turnovers,4,1
Penalties-Yards,9-74,9-85
Third Down Conv.,2-11,8-15
Fourth Down Conv.,0-0,0-0
Time of Possession,22:51,37:09
