Quarter,Time,Tm,Detail,CHI,TAM
1.0,5:34,Buccaneers,Chris Conte 20 yard interception return (Roberto Aguayo kick),0,7
,2:42,Bears,Connor Barth 54 yard field goal,3,7
2.0,3:33,Buccaneers,Cameron Brate 10 yard pass from Jameis Winston (Roberto Aguayo kick),3,14
,0:31,Buccaneers,Roberto Aguayo 30 yard field goal,3,17
,0:00,Bears,Cameron Meredith 50 yard pass from Jay Cutler (Connor Barth kick),10,17
3.0,13:05,Buccaneers,Freddie Martino 43 yard pass from Jameis Winston (Roberto Aguayo kick),10,24
,5:19,Buccaneers,Roberto Aguayo 27 yard field goal,10,27
,0:51,Buccaneers,"Safety, Fumble O.B. in end zone",10,29
4.0,5:55,Buccaneers,Doug Martin 1 yard rush (Roberto Aguayo kick),10,36
