Quarter,Time,Tm,Detail,TEN,HOU
1,3:58,Titans,Joe Nedney 28 yard field goal,3,0
2,2:54,Titans,Joe Nedney 26 yard field goal,6,0
3,0:52,Texans,Kris Brown 42 yard field goal,6,3
4,5:10,Titans,Eddie George 4 yard rush (Joe Nedney kick),13,3
