Quarter,Time,Down,ToGo,Location,BAL,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,OAK 20,0,0,Derek Carr pass complete short right to Lee Smith for 6 yards (tackle by Courtney Upshaw),0.280,0.540
1,14:25,2,4,OAK 26,0,0,Derek Carr pass incomplete short left intended for Amari Cooper,0.540,-0.160
1,14:22,3,4,OAK 26,0,0,Derek Carr pass complete short left to Mychal Rivera for 4 yards (tackle by Kyle Arrington and Kendrick Lewis),-0.160,0.940
1,13:34,1,10,OAK 30,0,0,Derek Carr pass incomplete short middle intended for Amari Cooper,0.940,0.390
1,13:29,2,10,OAK 30,0,0,Latavius Murray left end for 2 yards (tackle by Jimmy Smith),0.390,-0.030
1,12:59,3,8,OAK 32,0,6,"Derek Carr pass complete deep left to Amari Cooper for 68 yards, touchdown",-0.030,7.000
1,12:59,,,BAL 32,0,7,Sebastian Janikowski kicks extra point good,0.000,0.000
1,12:59,,,OAK 35,0,7,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
1,12:49,1,10,BAL 20,0,7,"Joe Flacco pass complete short right to Kamar Aiken for 6 yards (tackle by T.J. Carrie). Kamar Aiken fumbles (forced by T.J. Carrie), recovered by Curtis Lofton at BAL-29 (tackle by Kamar Aiken)",0.280,-3.640
1,12:42,1,10,BAL 29,0,7,"Derek Carr pass incomplete deep right intended for Michael Crabtree. Penalty on Kendrick Lewis: Defensive Pass Interference, 22 yards (no play)",3.640,5.600
1,12:36,1,7,BAL 7,0,7,Latavius Murray middle for 2 yards (tackle by Brandon Williams),5.600,5.150
1,11:57,2,5,BAL 5,0,7,Derek Carr pass incomplete short middle intended for Mychal Rivera,5.150,4.260
1,11:52,3,5,BAL 5,0,7,Derek Carr pass incomplete short middle intended for Michael Crabtree,4.260,3.010
1,11:48,4,5,BAL 5,0,10,Sebastian Janikowski 23 yard field goal good,3.010,3.000
1,11:48,,,OAK 35,0,10,"Sebastian Janikowski kicks off 64 yards, returned by Michael Campanaro for 29 yards (tackle by Keith McGill)",0.000,-0.940
1,11:38,1,10,BAL 30,0,10,Justin Forsett right guard for 4 yards (tackle by T.J. Carrie),0.940,0.930
1,11:06,2,6,BAL 34,0,10,Joe Flacco pass complete short left to Marlon Brown for 7 yards (tackle by D.J. Hayden),0.930,1.660
1,10:35,1,10,BAL 41,0,10,Joe Flacco pass incomplete deep right intended for Steve Smith,1.660,1.120
1,10:29,2,10,BAL 41,0,10,Joe Flacco pass complete short middle to Crockett Gillmore for 6 yards (tackle by Curtis Lofton),1.120,1.220
1,9:52,3,4,BAL 47,0,10,Joe Flacco pass complete short left to Kamar Aiken for 8 yards (tackle by Neiko Thorpe),1.220,2.590
1,9:20,1,10,OAK 45,0,10,Joe Flacco pass complete deep left to Steve Smith for 37 yards (tackle by D.J. Hayden),2.590,5.370
1,8:35,1,8,OAK 8,0,10,Justin Forsett right guard for no gain (tackle by C.J. Wilson),5.370,4.570
1,7:53,2,8,OAK 8,0,10,Joe Flacco pass incomplete short left intended for Steve Smith (defended by D.J. Hayden),4.570,3.580
1,7:49,3,8,OAK 8,0,10,Joe Flacco pass incomplete short right intended for Kamar Aiken,3.580,2.950
1,7:45,4,8,OAK 8,0,10,"Penalty on OAK: Defensive 12 On-field, 4 yards (no play)",2.950,3.030
1,7:45,4,4,OAK 4,3,10,Justin Tucker 22 yard field goal good,3.030,3.000
1,7:45,,,BAL 35,3,10,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
1,7:41,1,10,OAK 20,3,10,"Penalty on J'Marcus Webb: False Start, 5 yards (no play)",0.280,-0.310
1,7:41,1,15,OAK 15,3,10,Latavius Murray left guard for 4 yards (tackle by Lawrence Guy and Courtney Upshaw),-0.310,-0.460
1,7:02,2,11,OAK 19,3,10,Derek Carr pass complete short middle to Michael Crabtree for 12 yards (tackle by C.J. Mosley),-0.460,1.000
1,6:18,1,10,OAK 31,3,10,"Derek Carr pass complete short left to Michael Crabtree for 2 yards (tackle by Lardarius Webb). Penalty on Michael Crabtree: Taunting, 15 yards",1.000,-1.400
1,5:43,2,23,OAK 18,3,10,Derek Carr pass complete short middle to Andre Holmes for 21 yards (tackle by Will Hill),-1.400,0.830
1,5:02,3,2,OAK 39,3,10,Derek Carr pass complete short right to Amari Cooper for 8 yards (tackle by Lardarius Webb),0.830,2.060
1,4:22,1,10,OAK 47,3,10,Derek Carr pass incomplete short right intended for Michael Crabtree (defended by Lardarius Webb),2.060,1.520
1,4:16,2,10,OAK 47,3,10,Latavius Murray right end for 5 yards (tackle by Albert McClellan),1.520,1.490
1,3:31,3,5,BAL 48,3,10,Derek Carr sacked by Jimmy Smith for 0 yards. Penalty on Austin Howard: Offensive Holding (Declined),1.490,0.070
1,3:06,4,5,BAL 48,3,10,"Marquette King punts 48 yards, touchback",0.070,-0.280
1,2:59,1,10,BAL 20,3,10,Joe Flacco pass complete short middle to Steve Smith for 22 yards (tackle by Taylor Mays and Malcolm Smith),0.280,1.730
1,2:23,1,10,BAL 42,3,10,"Justin Forsett left guard for no gain (tackle by Khalil Mack). Penalty on Denico Autry: Defensive Offside, 5 yards (no play)",1.730,2.460
1,2:00,1,5,BAL 47,3,10,Joe Flacco pass complete short left to Maxx Williams for 8 yards (tackle by Ray-Ray Armstrong),2.460,2.590
1,1:22,1,10,OAK 45,3,10,Joe Flacco pass incomplete deep right intended for Kamar Aiken,2.590,2.040
1,1:16,2,10,OAK 45,3,10,Justin Forsett left tackle for 16 yards (tackle by Charles Woodson and D.J. Hayden),2.040,3.640
1,0:39,1,10,OAK 29,3,10,Lorenzo Taliaferro middle for 3 yards (tackle by Denico Autry),3.640,3.510
1,0:02,2,7,OAK 26,9,10,"Joe Flacco pass complete short middle to Crockett Gillmore for 26 yards, touchdown",3.510,7.000
1,0:02,,,OAK 26,10,10,Justin Tucker kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,BAL,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,,,,BAL 35,10,10,"Justin Tucker kicks off 65 yards, touchback",0.000,0.280
2,15:00,1,10,OAK 20,10,10,Derek Carr pass complete short right to Marcel Reece for 16 yards (tackle by C.J. Mosley),0.280,1.330
2,14:19,1,10,OAK 36,10,10,Latavius Murray right guard for 5 yards (tackle by Daryl Smith),1.330,1.470
2,13:58,2,5,OAK 41,10,10,Derek Carr pass complete deep right to Michael Crabtree for 37 yards (tackle by Lardarius Webb),1.470,4.110
2,13:03,1,10,BAL 22,10,10,Derek Carr pass complete deep middle to Andre Holmes for 21 yards (tackle by Kendrick Lewis and Kyle Arrington). Penalty on Kyle Arrington: Defensive Holding (Declined),4.110,6.970
2,12:57,1,1,BAL 1,10,16,"Latavius Murray right tackle for 1 yard, touchdown",6.970,7.000
2,12:57,,,BAL 1,10,17,Sebastian Janikowski kicks extra point good,0.000,0.000
2,12:57,,,OAK 35,10,17,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
2,12:52,1,10,BAL 20,10,17,Joe Flacco pass complete short middle to Justin Forsett for 3 yards (tackle by Curtis Lofton),0.280,0.140
2,12:20,2,7,BAL 23,10,17,Justin Forsett middle for 6 yards (tackle by Malcolm Smith and Taylor Mays),0.140,0.230
2,11:45,3,1,BAL 29,10,17,Joe Flacco middle for no gain (tackle by C.J. Wilson),0.230,-1.440
2,10:57,4,1,BAL 29,10,17,Justin Forsett left end for 1 yard (tackle by D.J. Hayden),-1.440,0.940
2,10:31,1,10,BAL 30,10,17,Joe Flacco pass complete deep right to Crockett Gillmore for 38 yards (tackle by Curtis Lofton and Ray-Ray Armstrong),0.940,3.450
2,9:47,1,10,OAK 32,10,17,"Penalty on OAK: Defensive 12 On-field, 5 yards (no play)",3.450,4.180
2,9:33,1,5,OAK 27,10,17,Joe Flacco pass complete short right to Kyle Juszczyk for 11 yards (tackle by Curtis Lofton),4.180,4.510
2,8:55,1,10,OAK 16,10,17,Javorius Allen middle for 5 yards (tackle by Taylor Mays),4.510,4.760
2,8:22,2,5,OAK 11,10,17,Joe Flacco pass complete short middle to Javorius Allen for 2 yards (tackle by Malcolm Smith),4.760,4.760
2,7:51,2,5,OAK 11,10,17,Timeout #1 by Oakland Raiders,4.760,4.390
2,7:51,3,3,OAK 9,16,17,"Joe Flacco pass complete short middle to Crockett Gillmore for 9 yards, touchdown",4.390,7.000
2,7:51,,,OAK 9,17,17,Justin Tucker kicks extra point good,0.000,0.000
