Unnamed: 0,BAL,OAK
First Downs,29,27
Rush-Yds-TDs,25-109-1,19-97-1
Cmp-Att-Yd-TD-INT,32-45-384-2-1,30-46-351-3-1
Sacked-Yards,0-0,1-0
Net Pass Yards,384,351
Total Yards,493,448
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,10-109,16-106
Third Down Conv.,4-11,9-14
Fourth Down Conv.,2-2,0-0
Time of Possession,30:27,29:33
