Quarter,Time,Tm,Detail,BAL,OAK
1.0,12:49,Raiders,Amari Cooper 68 yard pass from Derek Carr (Sebastian Janikowski kick),0,7
,11:44,Raiders,Sebastian Janikowski 23 yard field goal,0,10
,7:41,Ravens,Justin Tucker 22 yard field goal,3,10
,0:00,Ravens,Crockett Gillmore 26 yard pass from Joe Flacco (Justin Tucker kick),10,10
2.0,12:52,Raiders,Latavius Murray 1 yard rush (Sebastian Janikowski kick),10,17
,7:44,Ravens,Crockett Gillmore 9 yard pass from Joe Flacco (Justin Tucker kick),17,17
,2:00,Raiders,Sebastian Janikowski 46 yard field goal,17,20
,0:00,Ravens,Justin Tucker 21 yard field goal,20,20
3.0,8:44,Raiders,Sebastian Janikowski 48 yard field goal,20,23
,2:12,Raiders,Michael Crabtree 29 yard pass from Derek Carr (Sebastian Janikowski kick),20,30
4.0,13:37,Ravens,Justin Tucker 37 yard field goal,23,30
,7:03,Ravens,Lorenzo Taliaferro 7 yard rush (Justin Tucker kick),30,30
,2:10,Ravens,Justin Tucker 31 yard field goal,33,30
,0:26,Raiders,Seth Roberts 12 yard pass from Derek Carr (Sebastian Janikowski kick),33,37
