Quarter,Time,Tm,Detail,WAS,DAL
1.0,3:01,Redskins,Jeff Chandler 25 yard field goal,3,0
2.0,9:51,Cowboys,Billy Cundiff 26 yard field goal,3,3
,0:00,Cowboys,Billy Cundiff 23 yard field goal,3,6
4.0,6:44,Redskins,Robert Royal 5 yard pass from Patrick Ramsey (Jeff Chandler kick),10,6
,0:30,Cowboys,Patrick Crayton 39 yard pass from Vinny Testaverde (Billy Cundiff kick),10,13
