Unnamed: 0,WAS,DAL
First Downs,15,21
Rush-Yds-TDs,25-84-0,30-89-0
Cmp-Att-Yd-TD-INT,19-29-158-1-2,23-39-234-1-1
Sacked-Yards,2-9,5-17
Net Pass Yards,149,217
Total Yards,233,306
Fumbles-Lost,1-1,1-1
Turnovers,3,2
Penalties-Yards,8-69,1-13
Third Down Conv.,4-11,5-17
Fourth Down Conv.,0-0,3-4
Time of Possession,27:18,32:42
