Quarter,Time,Tm,Detail,PIT,CLE
1.0,7:06,Steelers,Heath Miller 2 yard pass from Ben Roethlisberger (Chris Boswell kick),7,0
,1:11,Browns,Travis Coons 29 yard field goal,7,3
2.0,1:56,Browns,Travis Coons 39 yard field goal,7,6
,0:58,Steelers,Antonio Brown 17 yard pass from Ben Roethlisberger (Chris Boswell kick),14,6
,0:00,Browns,Travis Coons 33 yard field goal,14,9
3.0,9:39,Steelers,Chris Boswell 39 yard field goal,17,9
4.0,14:53,Browns,Travis Coons 29 yard field goal,17,12
,10:43,Steelers,Markus Wheaton 8 yard pass from Ben Roethlisberger (Fitzgerald Toussaint pass from Ben Roethlisberger),25,12
,7:40,Steelers,Chris Boswell 21 yard field goal,28,12
