Unnamed: 0,PIT,CLE
First Downs,16,22
Rush-Yds-TDs,19-30-0,23-86-0
Cmp-Att-Yd-TD-INT,24-36-349-3-2,24-46-240-0-2
Sacked-Yards,0-0,7-63
Net Pass Yards,349,177
Total Yards,379,263
Fumbles-Lost,1-1,3-2
Turnovers,3,4
Penalties-Yards,9-45,8-47
Third Down Conv.,2-8,4-16
Fourth Down Conv.,0-0,1-4
Time of Possession,26:03,33:57
