Unnamed: 0,CLE,PIT
First Downs,20,22
Rush-Yds-TDs,14-15-0,21-60-0
Cmp-Att-Yd-TD-INT,33-45-372-1-1,25-37-402-3-1
Sacked-Yards,6-45,1-3
Net Pass Yards,327,399
Total Yards,342,459
Fumbles-Lost,2-2,3-1
Turnovers,3,2
Penalties-Yards,12-188,5-50
Third Down Conv.,5-13,3-10
Fourth Down Conv.,1-3,0-1
Time of Possession,32:43,27:17
