Unnamed: 0,CLE,WAS
First Downs,16,17
Rush-Yds-TDs,28-102-0,36-193-1
Cmp-Att-Yd-TD-INT,14-37-136-1-0,14-23-164-1-0
Sacked-Yards,1-2,1-6
Net Pass Yards,134,158
Total Yards,236,351
Fumbles-Lost,1-0,2-1
Turnovers,0,1
Penalties-Yards,4-25,5-38
Third Down Conv.,4-16,3-11
Fourth Down Conv.,1-2,0-0
Time of Possession,31:08,28:52
