Quarter,Time,Tm,Detail,GNB,CHI
1.0,9:28,Bears,Robbie Gould 28 yard field goal,0,3
,0:43,Packers,James Jones 13 yard pass from Aaron Rodgers (Mason Crosby kick),7,3
2.0,7:49,Bears,Matt Forte 1 yard rush (Robbie Gould kick),7,10
,2:32,Packers,Mason Crosby 37 yard field goal,10,10
,0:08,Bears,Robbie Gould 50 yard field goal,10,13
3.0,11:56,Packers,James Jones 1 yard pass from Aaron Rodgers (Mason Crosby kick),17,13
,4:57,Bears,Robbie Gould 44 yard field goal,17,16
4.0,10:26,Packers,Randall Cobb 5 yard pass from Aaron Rodgers (Mason Crosby kick),24,16
,1:55,Packers,Eddie Lacy 2 yard rush (Mason Crosby kick),31,16
,0:34,Bears,Martellus Bennett 24 yard pass from Jay Cutler (Robbie Gould kick),31,23
