Unnamed: 0,GNB,CHI
First Downs,21,25
Rush-Yds-TDs,30-133-1,33-189-1
Cmp-Att-Yd-TD-INT,18-23-189-3-0,18-36-225-1-1
Sacked-Yards,0-0,2-12
Net Pass Yards,189,213
Total Yards,322,402
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,10-74,6-64
Third Down Conv.,6-10,11-17
Fourth Down Conv.,1-1,2-3
Time of Possession,28:08,31:52
