Quarter,Time,Tm,Detail,SEA,DET
1.0,8:00,Lions,Jason Hanson 44 yard field goal,0,3
2.0,5:59,Seahawks,Josh Brown 20 yard field goal,3,3
,0:00,Seahawks,Josh Brown 51 yard field goal,6,3
4.0,7:05,Lions,Jason Hanson 37 yard field goal,6,6
,0:00,Seahawks,Josh Brown 42 yard field goal,9,6
