Unnamed: 0,SEA,DET
First Downs,17,15
Rush-Yds-TDs,26-91-0,17-38-0
Cmp-Att-Yd-TD-INT,25-30-210-0-0,21-37-229-0-0
Sacked-Yards,5-37,3-16
Net Pass Yards,173,213
Total Yards,264,251
Fumbles-Lost,2-1,3-1
Turnovers,1,1
Penalties-Yards,8-55,7-61
Third Down Conv.,2-11,5-14
Fourth Down Conv.,0-0,0-0
Time of Possession,32:25,27:35
