Quarter,Time,Down,ToGo,Location,JAX,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 65 yards, touchback.",,
1,15:00,1,10,JAX 25,0,0,James Robinson right guard for 4 yards (tackle by Bobby Wagner and Bryan Mone),,
1,14:20,2,6,JAX 29,0,0,Trevor Lawrence pass complete short right to Jamal Agnew for 6 yards (tackle by Ugo Amadi),,
1,13:49,1,10,JAX 35,0,0,James Robinson up the middle for 14 yards (tackle by Jordyn Brooks),,
1,13:02,1,10,JAX 49,0,0,Carlos Hyde left guard for 4 yards (tackle by Poona Ford and Bobby Wagner),,
1,12:30,2,6,SEA 47,0,0,Trevor Lawrence pass complete short right to Carlos Hyde for 1 yard (tackle by Ugo Amadi),,
1,11:42,3,5,SEA 46,0,0,Trevor Lawrence pass complete short right to Dan Arnold for 7 yards (tackle by Tre Brown),,
1,11:08,1,10,SEA 39,0,0,Trevor Lawrence pass incomplete short left intended for James Robinson,,
1,10:57,2,10,SEA 39,0,0,James Robinson right guard for 1 yard (tackle by Jamal Adams and Bobby Wagner),,
1,10:15,3,9,SEA 38,0,0,Trevor Lawrence sacked by Ryan Neal for -11 yards,,
1,9:37,4,20,SEA 49,0,0,"Logan Cooke punts 49 yards, touchback.",,
1,9:28,1,10,SEA 20,0,0,Geno Smith pass complete short middle to Tyler Lockett for 9 yards (tackle by Myles Jack),,
1,8:50,2,1,SEA 29,0,0,Alex Collins right end for 12 yards (tackle by Damien Wilson),,
1,8:12,1,10,SEA 41,0,0,"Geno Smith pass incomplete short right intended for Will Dissly. Penalty on DaVon Hamilton: Roughing the Passer, 15 yards (accepted) (no play)",,
1,8:09,1,10,JAX 44,0,0,Alex Collins right guard for 9 yards (tackle by Tyson Campbell and Rayshawn Jenkins),,
1,7:29,2,1,JAX 35,0,0,Alex Collins left guard for 2 yards (tackle by Josh Allen and Malcom Brown),,
1,6:58,1,10,JAX 33,0,0,Rashaad Penny left end for 5 yards (tackle by Rayshawn Jenkins),,
1,6:18,2,5,JAX 28,0,0,Geno Smith pass complete deep left to Tyler Lockett for 27 yards (tackle by Tyson Campbell),,
1,6:07,1,1,JAX 1,0,0,Rashaad Penny up the middle for no gain (tackle by Rayshawn Jenkins),,
1,5:37,2,1,JAX 1,0,0,Rashaad Penny up the middle for no gain (tackle by Damien Wilson and Taven Bryan),,
1,5:02,3,1,JAX 1,0,0,Alex Collins left guard for no gain (tackle by DaVon Hamilton and Damien Wilson),,
1,4:22,4,1,JAX 1,0,6,"Geno Smith up the middle for 1 yard, touchdown",,
1,4:19,,,JAX 15,0,7,Jason Myers kicks extra point good,,
1,4:19,,,SEA 35,0,7,"Jason Myers kicks off 69 yards, returned by Jamal Agnew for 20 yards (tackle by John Reid and Travis Homer)",,
1,4:15,,,,,,Timeout #1 by Jacksonville Jaguars,,
1,4:15,1,10,JAX 16,0,7,Trevor Lawrence pass complete short right to Marvin Jones for 5 yards (tackle by Quandre Diggs),,
1,3:45,2,5,JAX 21,0,7,James Robinson right tackle for 3 yards (tackle by Carlos Dunlap and Jamal Adams),,
1,3:07,3,2,JAX 24,0,7,Trevor Lawrence pass incomplete short left intended for Laviska Shenault,,
1,2:56,4,2,JAX 24,0,7,"Logan Cooke punts 51 yards, fair catch by Freddie Swain at SEA-25",,
1,2:45,1,10,SEA 25,0,7,Alex Collins up the middle for 2 yards (tackle by Myles Jack),,
1,2:10,2,8,SEA 27,0,7,Geno Smith pass complete short right to Tyler Lockett for 1 yard,,
1,1:45,3,7,SEA 28,0,7,Geno Smith pass complete short right to D.K. Metcalf for 5 yards (tackle by Shaquill Griffin),,
1,1:00,4,3,SEA 33,0,7,"Michael Dickson punts 48 yards, fair catch by Jamal Agnew at JAC-19",,
1,0:46,1,10,JAX 19,0,7,Trevor Lawrence pass complete short left to James Robinson for 17 yards (tackle by Bobby Wagner),,
1,0:10,1,10,JAX 36,0,7,"Penalty on JAX: Delay of Game, 5 yards (accepted) (no play)",,
