Unnamed: 0,JAX,SEA
First Downs,20,17
Rush-Yds-TDs,19-82-0,25-69-1
Cmp-Att-Yd-TD-INT,32-54-238-1-1,20-24-195-2-0
Sacked-Yards,1-11,3-35
Net Pass Yards,227,160
Total Yards,309,229
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,12-93,5-40
Third Down Conv.,5-14,3-10
Fourth Down Conv.,1-4,1-1
Time of Possession,31:29,28:31
