Quarter,Time,Tm,Detail,JAX,SEA
1.0,4:19,Seahawks,Geno Smith 1 yard rush (Jason Myers kick),0,7
2.0,9:24,Seahawks,D.K. Metcalf 16 yard pass from Geno Smith (Jason Myers kick),0,14
,0:06,Seahawks,Jason Myers 31 yard field goal,0,17
3.0,8:09,Seahawks,D.K. Metcalf 5 yard pass from Geno Smith (Jason Myers kick),0,24
4.0,1:49,Jaguars,Jamal Agnew 9 yard pass from Trevor Lawrence (Matthew Wright kick),7,24
,1:43,Seahawks,Travis Homer 44 yard kickoff return (Jason Myers kick),7,31
