Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Carlos Hyde,JAX,9,32,0,1,15,1.7,17,1.9,1,9.0
James Robinson,JAX,4,22,0,1,10,2.5,12,3.0,1,4.0
Trevor Lawrence,JAX,3,11,0,0,3,1.0,8,2.7,0,
Dare Ogunbowale,JAX,2,9,0,,5,2.5,4,2.0,0,
Laviska Shenault Jr.,JAX,1,8,0,,5,5.0,3,3.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Alex Collins,SEA,10,44,0,3,23,2.3,21,2.1,2,5.0
Rashaad Penny,SEA,7,7,0,,4,0.6,3,0.4,0,
Travis Homer,SEA,4,9,0,1,3,0.8,6,1.5,0,
Geno Smith,SEA,2,8,1,1,1,0.5,7,3.5,0,
DeeJay Dallas,SEA,1,6,0,,1,1.0,5,5.0,0,
Gerald Everett,SEA,1,-5,0,,-5,-5.0,0,0.0,0,
