Unnamed: 0,CIN,NOR
First Downs,21,22
Rush-Yds-TDs,14-75-1,34-228-1
Cmp-Att-Yd-TD-INT,28-37-300-3-0,19-36-178-1-0
Sacked-Yards,3-27,1-7
Net Pass Yards,273,171
Total Yards,348,399
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,3-30,4-34
Third Down Conv.,6-10,8-17
Fourth Down Conv.,0-0,0-1
Time of Possession,27:46,32:14
