Quarter,Time,Tm,Detail,NYG,NWE
1.0,8:52,Giants,"Safety, Intentional Grounding Penalty in the end zone on Tom Brady.",2,0
,3:24,Giants,Victor Cruz 2 yard pass from Eli Manning (Lawrence Tynes kick),9,0
2.0,13:48,Patriots,Stephen Gostkowski 29 yard field goal,9,3
,0:08,Patriots,Danny Woodhead 4 yard pass from Tom Brady (Stephen Gostkowski kick),9,10
3.0,11:20,Patriots,Aaron Hernandez 12 yard pass from Tom Brady (Stephen Gostkowski kick),9,17
,6:43,Giants,Lawrence Tynes 38 yard field goal,12,17
,0:35,Giants,Lawrence Tynes 33 yard field goal,15,17
4.0,0:57,Giants,Ahmad Bradshaw 6 yard rush (run failed),21,17
