0,1
Game Info,Game Info
Won Toss,Patriots (deferred)
Roof,retractable roof (closed)
Surface,fieldturf
Duration,3:23
Attendance,68658
Vegas Line,New England Patriots -3.0
Over/Under,53.5 (under)
Super Bowl MVP,Eli Manning
