Unnamed: 0,NYG,NWE
First Downs,26,21
Rush-Yds-TDs,28-114-1,19-83-0
Cmp-Att-Yd-TD-INT,30-40-296-1-0,27-41-276-2-1
Sacked-Yards,3-14,2-10
Net Pass Yards,282,266
Total Yards,396,349
Fumbles-Lost,2-0,0-0
Turnovers,0,1
Penalties-Yards,4-24,5-28
Third Down Conv.,5-11,6-12
Fourth Down Conv.,0-0,1-1
Time of Possession,37:05,22:55
