Unnamed: 0,NOR,WAS
First Downs,25,28
Rush-Yds-TDs,24-55-0,25-88-0
Cmp-Att-Yd-TD-INT,35-49-419-2-1,30-42-367-3-1
Sacked-Yards,1-11,0-0
Net Pass Yards,408,367
Total Yards,463,455
Fumbles-Lost,1-0,3-3
Turnovers,1,4
Penalties-Yards,7-102,2-15
Third Down Conv.,6-14,7-12
Fourth Down Conv.,0-1,0-0
Time of Possession,35:06,31:23
