Quarter,Time,Tm,Detail,NOR,WAS
1,8:11,Redskins,Fred Davis 8 yard pass from Jason Campbell (Shaun Suisham kick),0,7
,2:48,Redskins,Shaun Suisham 32 yard field goal,0,10
2,12:14,Saints,Garrett Hartley 34 yard field goal,3,10
,5:34,Saints,Marques Colston 40 yard pass from Drew Brees (Garrett Hartley kick),10,10
,2:17,Redskins,Devin Thomas 5 yard pass from Jason Campbell (Shaun Suisham kick),10,17
,0:22,Saints,Robert Meachem 44 yard offensive fumble return (Garrett Hartley kick),17,17
3,11:00,Redskins,Shaun Suisham 28 yard field goal,17,20
,7:48,Redskins,Devin Thomas 13 yard pass from Jason Campbell (Shaun Suisham kick),17,27
,2:35,Saints,Garrett Hartley 27 yard field goal,20,27
4,12:51,Redskins,Shaun Suisham 21 yard field goal,20,30
,6:52,Saints,Garrett Hartley 28 yard field goal,23,30
,1:19,Saints,Robert Meachem 53 yard pass from Drew Brees (Garrett Hartley kick),30,30
OT,8:31,Saints,Garrett Hartley 18 yard field goal,33,30
