Unnamed: 0,NYG,CAR
First Downs,24,22
Rush-Yds-TDs,29-125-2,20-60-1
Cmp-Att-Yd-TD-INT,28-37-292-1-0,19-33-288-0-3
Sacked-Yards,2-12,2-21
Net Pass Yards,280,267
Total Yards,405,327
Fumbles-Lost,1-0,2-2
Turnovers,0,5
Penalties-Yards,5-38,3-22
Third Down Conv.,7-14,4-9
Fourth Down Conv.,0-0,0-1
Time of Possession,36:10,23:50
