Quarter,Time,Down,ToGo,Location,NYG,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Justin Medlock kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,NYG 20,0,0,Eli Manning pass complete short right to Victor Cruz for 12 yards (tackle by Charles Godfrey and James Anderson),0.280,1.070
1,14:26,1,10,NYG 32,0,0,Eli Manning pass complete short right to Ramses Barden for 8 yards (tackle by Luke Kuechly),1.070,1.610
1,13:47,2,2,NYG 40,0,0,Andre Brown left end for 7 yards (tackle by Josh Norman and Luke Kuechly). Penalty on Charles Johnson: Defensive Offside (Declined),1.610,2.060
1,13:25,1,10,NYG 47,0,0,Eli Manning pass incomplete short left intended for Andre Brown,2.060,1.520
1,13:21,2,10,NYG 47,0,0,Andre Brown right tackle for 31 yards (tackle by Haruki Nakamura),1.520,4.110
1,12:52,1,10,CAR 22,0,0,Andre Brown left guard for no gain (tackle by Charles Godfrey),4.110,3.560
1,12:13,2,10,CAR 22,0,0,Eli Manning pass complete short left to Henry Hynoski for 8 yards (tackle by James Anderson),3.560,4.150
1,11:42,3,2,CAR 14,6,0,"Eli Manning pass complete short left to Martellus Bennett for 14 yards, touchdown",4.150,7.000
1,11:42,,,CAR 2,7,0,Lawrence Tynes kicks extra point good,0.000,0.000
1,11:38,,,NYG 35,7,0,"Lawrence Tynes kicks off 62 yards, returned by Joe Adams for 15 yards (tackle by Keith Rivers)",0.000,0.040
1,11:33,1,10,CAR 18,7,0,DeAngelo Williams left guard for 5 yards (tackle by Mathias Kiwanuka),0.040,0.280
1,10:53,2,5,CAR 23,7,0,Cam Newton pass incomplete deep left intended for Louis Murphy,0.280,-0.530
1,10:48,3,5,CAR 23,7,0,"Cam Newton pass incomplete short left intended for Steve Smith. Penalty on Corey Webster: Defensive Pass Interference, 3 yards (no play)",-0.530,0.670
1,10:44,1,10,CAR 26,7,0,Cam Newton pass complete deep left to Greg Olsen for 23 yards (tackle by Antrel Rolle),0.670,2.190
1,10:17,1,10,CAR 49,7,0,"Cam Newton left end for no gain, lateral to DeAngelo Williams for 7 yards (tackle by Corey Webster)",2.190,2.590
1,9:52,2,3,NYG 44,7,0,DeAngelo Williams up the middle for no gain (tackle by Justin Tuck),2.590,1.880
1,9:13,3,3,NYG 44,7,0,Cam Newton left end for no gain (tackle by Jason Pierre-Paul),1.880,0.330
1,8:36,4,3,NYG 44,7,0,"Brad Nortman punts 44 yards, touchback",0.330,-0.280
1,8:30,1,10,NYG 20,7,0,Andre Brown right guard for 16 yards (tackle by Josh Norman),0.280,1.330
1,7:54,1,10,NYG 36,7,0,Eli Manning pass complete short right to Ramses Barden for 21 yards (tackle by Luke Kuechly),1.330,2.720
1,7:09,1,10,CAR 43,7,0,Andre Brown up the middle for 3 yards (tackle by Luke Kuechly),2.720,2.580
1,6:32,2,7,CAR 40,7,0,Eli Manning pass complete short left to David Wilson for 3 yards (tackle by Josh Norman),2.580,2.280
1,5:52,3,4,CAR 37,7,0,Eli Manning pass complete short left to Victor Cruz for 6 yards (tackle by Josh Norman),2.280,3.510
1,5:13,1,10,CAR 31,7,0,Eli Manning pass complete short right to Andre Brown for -2 yards (tackle by Luke Kuechly),3.510,2.700
1,4:36,2,12,CAR 33,7,0,Eli Manning pass complete short right to Rueben Randle for 4 yards (tackle by Chris Gamble),2.700,2.540
1,3:54,3,8,CAR 29,7,0,Eli Manning pass incomplete short left intended for Victor Cruz (defended by Captain Munnerlyn),2.540,1.500
1,3:50,4,8,CAR 29,10,0,Lawrence Tynes 47 yard field goal good,1.500,3.000
1,3:46,,,NYG 35,10,0,"Lawrence Tynes kicks off 61 yards, returned by Joe Adams for 14 yards (tackle by Will Hill)",0.000,0.040
1,3:40,1,10,CAR 18,10,0,Cam Newton pass incomplete short right intended for Greg Olsen (defended by Jason Pierre-Paul),0.040,-0.490
1,3:34,2,10,CAR 18,10,0,DeAngelo Williams left end for 16 yards (tackle by Antrel Rolle),-0.490,1.200
1,2:58,1,10,CAR 34,10,0,DeAngelo Williams left end for 5 yards (tackle by Chase Blackburn),1.200,1.330
1,2:31,2,5,CAR 39,10,0,Cam Newton up the middle for no gain (tackle by Justin Tuck),1.330,0.630
1,2:00,3,5,CAR 39,10,0,Cam Newton pass incomplete short left intended for Brandon LaFell (defended by Jayron Hosley),0.630,-0.780
