Quarter,Time,Tm,Detail,NYG,CAR
1.0,11:38,Giants,Martellus Bennett 14 yard pass from Eli Manning (Lawrence Tynes kick),7,0
,3:46,Giants,Lawrence Tynes 47 yard field goal,10,0
2.0,12:03,Giants,Andre Brown 1 yard rush (Lawrence Tynes kick),17,0
,3:13,Giants,Lawrence Tynes 49 yard field goal,20,0
3.0,12:49,Giants,Lawrence Tynes 30 yard field goal,23,0
,6:25,Panthers,Cam Newton 1 yard rush (Justin Medlock kick),23,7
,0:50,Giants,Lawrence Tynes 36 yard field goal,26,7
4.0,9:40,Giants,Andre Brown 1 yard rush (Lawrence Tynes kick),33,7
,1:09,Giants,Lawrence Tynes 27 yard field goal,36,7
