Quarter,Time,Down,ToGo,Location,IND,PHI,Detail,EPB,EPA
2,13:05,3,10,PHI 40,0,13,Peyton Manning pass complete short left to Reggie Wayne for 11 yards (tackle by Dimitri Patterson),1.680,3.640
,,,,,,,"PHI challenged the pass completion ruling, and the play was upheld.",,
2,12:41,1,10,PHI 29,0,13,"Peyton Manning pass incomplete deep middle intended for Jacob Tamme (defended by Joselio Hanson). Penalty on Stewart Bradley: Defensive Pass Interfere, 19 yards (no play)",3.640,4.910
2,12:36,1,10,PHI 10,0,13,Donald Brown left end for 7 yards (tackle by Antonio Dixon and Nate Allen),4.910,5.530
2,12:05,2,3,PHI 3,6,13,"Peyton Manning pass complete short right to Jacob Tamme for 3 yards, touchdown",5.530,7.000
2,,,,PHI 2,7,13,Adam Vinatieri kicks extra point good,0.000,0.000
2,,,,IND 30,7,13,"Pat McAfee kicks off 60 yards, returned by Jorrick Calvin for 8 yards, lateral to Dimitri Patterson for 14 yards. Dimitri Patterson fumbles, ball out of bounds at PHI-42",0.000,1.070
2,11:46,1,10,PHI 32,7,13,Michael Vick pass incomplete short right intended for Brent Celek (defended by Deshea Townsend),1.070,0.530
2,11:40,2,10,PHI 32,7,13,LeSean McCoy middle for 1 yard (tackle by Daniel Muir),0.530,-0.030
2,11:03,3,9,PHI 33,7,13,Michael Vick for 24 yards,-0.030,2.720
2,10:35,1,10,IND 43,7,13,LeSean McCoy left end for -1 yards (tackle by Daniel Muir and Antoine Bethea),2.720,2.040
2,9:58,2,11,IND 44,7,13,Michael Vick for 4 yards,2.040,1.880
2,9:26,3,7,IND 40,7,13,Michael Vick pass complete short left to Jason Avant for 34 yards (tackle by Aaron Francisco),1.880,5.830
2,8:49,1,6,IND 6,7,13,LeSean McCoy right tackle for no gain (tackle by Tyjuan Hagler),5.830,4.950
2,8:10,2,6,IND 6,7,13,Michael Vick pass complete short left to DeSean Jackson for -8 yards (tackle by Aaron Francisco),4.950,3.000
2,7:14,,,,7,13,Timeout #3 by Philadelphia Eagles,0.000,3.000
2,7:14,3,14,IND 14,7,13,Michael Vick left end for 1 yard (tackle by Dwight Freeney),3.000,2.570
2,6:29,4,13,IND 13,7,16,David Akers 31 yard field goal good,2.570,3.000
2,,,,PHI 30,7,16,"David Akers kicks off 70 yards, touchback",0.000,0.280
2,6:25,1,10,IND 20,7,16,Peyton Manning pass complete short left to Reggie Wayne for 4 yards (tackle by Dimitri Patterson),0.280,0.270
2,5:49,2,6,IND 24,7,16,"Peyton Manning pass complete short left to Reggie Wayne for 14 yards (tackle by Dimitri Patterson). Penalty on Reggie Wayne: Offensive Pass Interfere, 10 yards (no play)",0.270,-1.180
2,5:22,2,16,IND 14,7,16,Peyton Manning pass complete short left to Reggie Wayne for 6 yards (tackle by Keenan Clayton),-1.180,-0.960
2,4:40,3,10,IND 20,7,16,"Peyton Manning pass incomplete deep middle intended for Austin Collie. Penalty on Dimitri Patterson: Illegal Contact, 5 yards (no play)",-0.960,0.610
2,4:35,1,10,IND 25,7,16,Peyton Manning sacked by Darryl Tapp for -5 yards,0.610,-0.610
2,4:09,2,15,IND 20,7,16,Peyton Manning pass complete short middle to Jacob Tamme for 13 yards (tackle by Stewart Bradley),-0.610,0.430
2,3:21,3,2,IND 33,7,16,Donald Brown middle for 3 yards (tackle by Ernie Sims),0.430,1.330
2,3:00,1,10,IND 36,7,16,Donald Brown left end for 4 yards (tackle by Juqua Parker),1.330,1.330
2,2:28,2,6,IND 40,7,16,"Peyton Manning pass incomplete deep left intended for Austin Collie. Penalty on Kurt Coleman: Unnecessary Roughness, 15 yards (no play)",1.330,2.590
2,2:23,1,10,PHI 45,7,16,"Peyton Manning pass complete deep right to Blair White for 33 yards (tackle by Quintin Mikell). Penalty on Quintin Mikell: Face Mask (15 Yards), 6 yards",2.590,5.830
2,2:01,1,6,PHI 6,13,16,"Javarris James right tackle for 6 yards, touchdown",5.830,7.000
2,,,,PHI 2,14,16,Adam Vinatieri kicks extra point good,0.000,0.000
2,,,,IND 30,14,16,"Pat McAfee kicks off 63 yards, returned by Jorrick Calvin for 23 yards (tackle by Mike Newton)",0.000,0.940
2,1:53,1,10,PHI 30,14,16,Michael Vick sacked by Eric Foster for -10 yards,0.940,-0.960
2,1:28,2,20,PHI 20,14,16,Michael Vick pass incomplete deep right intended for Jeremy Maclin,-0.960,-1.620
2,1:21,3,20,PHI 20,14,16,Michael Vick pass complete short right to Owen Schmitt for 12 yards (tackle by Antoine Bethea),-1.620,-1.240
2,1:11,,,,14,16,Timeout #1 by Indianapolis Colts,0.000,-1.240
2,1:11,4,8,PHI 32,14,16,Saverio Rocca punts 18 yards,-1.240,-2.260
2,1:04,1,10,,14,16,Peyton Manning pass complete short left to Jacob Tamme for 9 yards (tackle by Ernie Sims),2.260,2.930
2,0:43,2,1,PHI 41,14,16,Donald Brown middle for 4 yards (tackle by Darryl Tapp),2.930,3.120
2,0:38,,,,14,16,Timeout #2 by Indianapolis Colts,0.000,3.120
2,0:38,1,10,PHI 37,14,16,Peyton Manning pass complete short left to Reggie Wayne for 18 yards (tackle by Kurt Coleman),3.120,4.310
2,0:20,1,10,PHI 19,14,16,Peyton Manning pass incomplete deep middle intended for Jacob Tamme (defended by Quintin Mikell),4.310,3.750
2,0:16,2,10,PHI 19,14,16,Peyton Manning pass incomplete deep left intended for Reggie Wayne,3.750,3.030
2,0:11,3,10,PHI 19,14,16,Peyton Manning pass incomplete deep left intended for Reggie Wayne,3.030,2.180
2,0:07,4,10,PHI 19,17,16,Adam Vinatieri 37 yard field goal good,2.180,3.000
2,,,,IND 30,17,16,"Pat McAfee kicks off 23 yards, muffed catch by Eldra Buckley, recovered by Owen Schmitt and returned for no gain",0.000,0.940
Quarter,Time,Down,ToGo,Location,IND,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 30,17,16,"David Akers kicks off 70 yards, touchback",0.000,0.280
3,14:59,1,10,IND 20,17,16,Donald Brown right end for 5 yards (tackle by Juqua Parker and Stewart Bradley),0.280,0.410
3,14:26,2,5,IND 25,17,16,Peyton Manning pass incomplete short left intended for Gijon Robinson (defended by Stewart Bradley),0.410,-0.300
3,14:23,3,5,IND 25,17,16,Peyton Manning pass incomplete short left intended for Reggie Wayne (defended by Dimitri Patterson),-0.300,-1.700
3,14:18,4,5,IND 25,17,16,Pat McAfee punts 33 yards,-1.700,-1.730
3,14:06,1,10,PHI 42,17,16,LeSean McCoy right end for -5 yards (tackle by Antoine Bethea),1.730,0.510
3,13:26,2,15,PHI 37,17,16,Michael Vick pass complete short left to Jeremy Maclin for 8 yards (tackle by Deshea Townsend),0.510,0.890
3,12:47,3,7,PHI 45,17,16,Michael Vick pass incomplete short left intended for Jeremy Maclin (defended by Kelvin Hayden),0.890,-0.390
3,12:40,4,7,PHI 45,17,16,"Saverio Rocca punts 55 yards, touchback",-0.390,-0.280
3,12:30,1,10,IND 20,17,16,Donald Brown middle for no gain (tackle by Trent Cole),0.280,-0.270
3,12:01,2,10,IND 20,17,16,Peyton Manning pass incomplete deep middle intended for Blair White,-0.270,-0.960
3,11:56,3,10,IND 20,17,16,Peyton Manning pass complete short right to Blair White for 3 yards (tackle by Joselio Hanson),-0.960,-1.830
3,11:22,4,7,IND 23,17,16,"Pat McAfee punts 26 yards. Penalty on Keenan Clayton: Running Into the Kicker, 5 yards (no play)",-1.830,-1.500
3,11:10,4,2,IND 28,17,16,Pat McAfee punts 26 yards,-1.500,-1.990
3,11:01,1,10,PHI 46,17,16,Michael Vick pass complete short right to Jeremy Maclin for 9 yards (tackle by Cornelius Brown and Antoine Bethea),1.990,2.670
3,10:20,2,1,IND 45,17,16,LeSean McCoy middle for 3 yards (tackle by Tyjuan Hagler and Aaron Francisco),2.670,2.790
3,9:47,1,10,IND 42,17,16,Michael Vick pass complete short right to Jeremy Maclin for 9 yards (tackle by Aaron Francisco),2.790,3.460
3,9:09,2,1,IND 33,17,16,LeSean McCoy right end for 3 yards (tackle by Gary Brackett),3.460,3.580
3,8:32,1,10,IND 30,17,16,Michael Vick pass incomplete,3.580,3.030
3,8:22,2,10,IND 30,17,16,Michael Vick pass incomplete short right intended for LeSean McCoy,3.030,2.340
3,8:16,3,10,IND 30,17,16,Michael Vick right end for 3 yards (tackle by Kelvin Hayden),2.340,1.670
3,7:33,4,7,IND 27,17,19,David Akers 44 yard field goal good,1.670,3.000
3,,,,PHI 30,17,19,"David Akers kicks off 73 yards, returned by Cornelius Brown for 21 yards (tackle by Moise Fokou)",0.000,0.040
3,7:22,1,10,IND 18,17,19,Peyton Manning pass complete short left to Jacob Tamme for 22 yards (tackle by Ernie Sims and Kurt Coleman),0.040,1.600
3,6:49,1,10,IND 40,17,19,Donald Brown right end for -2 yards (tackle by Juqua Parker),1.600,0.780
3,6:05,2,12,IND 38,17,19,Donald Brown right end for 9 yards (tackle by Kurt Coleman),0.780,1.290
3,5:28,3,3,IND 47,17,19,Donald Brown middle for 7 yards (tackle by Quintin Mikell),1.290,2.520
3,4:52,1,10,PHI 46,17,19,Peyton Manning pass incomplete deep middle intended for Jacob Tamme,2.520,1.980
3,4:47,2,10,PHI 46,17,19,Donald Brown left end for -1 yards (tackle by Ernie Sims),1.980,1.160
3,4:25,3,11,PHI 47,17,19,Peyton Manning pass incomplete deep right intended for Pierre Garcon,1.160,0.130
3,4:19,4,11,PHI 47,17,19,"Pat McAfee punts 26 yards, returned by Jorrick Calvin for -1 yards (tackle by Pat Angerer)",0.130,-0.280
3,4:08,1,10,PHI 20,17,19,Michael Vick pass complete short left to DeSean Jackson for 11 yards (tackle by Antoine Bethea),0.280,1.000
3,3:48,1,10,PHI 31,17,19,"LeSean McCoy middle for 9 yards (tackle by Aaron Francisco). Penalty on DeSean Jackson: Unnecessary Roughness (Offsetting), Penalty on Jacob Lacey: Unnecessary Roughness (Offsetting)",1.000,1.680
3,3:12,2,1,PHI 40,17,19,Michael Vick pass complete short left to LeSean McCoy for 4 yards (tackle by Pat Angerer),1.680,1.860
3,2:35,1,10,PHI 44,17,19,"Michael Vick pass complete short left to Brent Celek for 56 yards. Penalty on Winston Justice: Offensive Holding, 10 yards (no play)",1.860,1.200
3,2:24,,,,17,19,Timeout #1 by Philadelphia Eagles,0.000,1.200
3,2:24,1,20,PHI 34,17,19,"Penalty on Jason Peters: False Start, 5 yards (no play)",1.200,0.870
3,2:24,1,25,PHI 29,17,19,Michael Vick pass complete short left to LeSean McCoy for -1 yards (tackle by Jacob Lacey),0.870,-0.840
3,1:40,2,26,PHI 28,17,19,Michael Vick pass complete deep left to Jeremy Maclin for 22 yards (tackle by Jacob Lacey),-0.840,1.420
3,1:00,3,4,,17,19,Michael Vick right end for 32 yards (tackle by Antoine Bethea),1.420,4.370
3,0:05,1,10,IND 18,17,19,"Michael Vick pass incomplete short right intended for LeSean McCoy (defended by Gary Brackett). Penalty on Daniel Muir: Defensive Holding, 5 yards (no play)",4.370,4.710
Quarter,Time,Down,ToGo,Location,IND,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,IND 13,17,19,Michael Vick pass complete short left to LeSean McCoy for 5 yards (tackle by Pat Angerer),4.710,4.960
4,14:35,2,5,IND 8,17,19,Michael Vick pass complete short left to Jason Avant for 7 yards (tackle by Aaron Francisco),4.960,6.970
,,,,,,,"PHI challenged the runner broke the plane ruling, and the play was upheld.",,
4,14:09,1,1,IND 1,17,19,Michael Vick middle for no gain (tackle by Pat Angerer),6.970,5.910
,,,,,,,"IND challenged the runner broke the plane ruling, and the original play was overturned.",,
4,13:58,2,1,IND 1,17,25,"Michael Vick middle for 1 yard, touchdown",5.910,7.000
4,,,,IND 2,17,26,"David Akers kicks extra point good. Penalty on Cornelius Brown: Defensive Offside, 5 yards",0.000,0.000
4,,,,PHI 35,17,26,"David Akers kicks off 65 yards, touchback",0.000,0.280
4,13:47,1,10,IND 20,17,26,Peyton Manning pass complete short left to Reggie Wayne for 6 yards (tackle by Dimitri Patterson),0.280,0.540
4,13:26,2,4,IND 26,17,26,"Peyton Manning pass incomplete short middle intended for Jacob Tamme. Penalty on Ernie Sims: Defensive Holding, 5 yards (no play)",0.540,1.000
4,13:15,1,10,IND 31,17,26,Peyton Manning pass incomplete short middle intended for Pierre Garcon,1.000,0.460
4,13:10,2,10,IND 31,17,26,Peyton Manning pass incomplete short left intended for Jacob Tamme (defended by Stewart Bradley),0.460,-0.230
4,13:05,3,10,IND 31,17,26,Peyton Manning pass incomplete deep left intended for Reggie Wayne,-0.230,-1.310
4,13:00,4,10,IND 31,17,26,"Pat McAfee punts 54 yards. Penalty on Keenan Clayton: Illegal Block Above the , 10 yards",-1.310,0.370
4,12:45,1,10,PHI 11,17,26,LeSean McCoy left tackle for 2 yards (tackle by Daniel Muir),-0.370,-0.630
4,12:06,2,8,PHI 13,17,26,LeSean McCoy right end for 6 yards (tackle by Antoine Bethea),-0.630,-0.480
4,11:27,3,2,PHI 19,17,26,Michael Vick pass complete short left to DeSean Jackson for 3 yards (tackle by Pat Angerer),-0.480,0.410
4,10:46,1,10,PHI 22,17,26,LeSean McCoy middle for no gain (tackle by Fili Moala),0.410,-0.130
4,10:03,2,10,PHI 22,17,26,Michael Vick pass incomplete short middle intended for Jeremy Maclin,-0.130,-0.820
4,9:56,3,10,PHI 22,17,26,Michael Vick pass complete deep left to DeSean Jackson for 18 yards (tackle by Jacob Lacey),-0.820,1.600
4,9:09,1,10,PHI 40,17,26,LeSean McCoy left end for no gain (tackle by Pat Angerer),1.600,1.050
4,8:28,2,10,PHI 40,17,26,Michael Vick pass incomplete deep left intended for DeSean Jackson (defended by Philip Wheeler),1.050,0.370
4,8:22,3,10,PHI 40,17,26,Michael Vick for 10 yards,0.370,2.260
4,7:54,1,10,,17,26,LeSean McCoy middle for 6 yards (tackle by Daniel Muir),2.260,2.520
4,7:11,2,4,IND 44,17,26,Michael Vick sacked by Tyjuan Hagler for -1 yards,2.520,1.690
4,6:35,3,5,IND 45,17,26,"Penalty on Winston Justice: False Start, 5 yards (no play)",1.690,1.030
4,6:10,3,10,,17,26,Michael Vick pass incomplete deep right intended for Jeremy Maclin,1.030,-0.060
4,6:05,4,10,,17,26,"Saverio Rocca punts 35 yards, fair catch by Blair White",-0.060,0.220
4,5:57,1,10,IND 15,17,26,Peyton Manning pass complete short left to Reggie Wayne for 7 yards (tackle by Quintin Mikell and Joselio Hanson),-0.220,0.350
4,5:33,2,3,IND 22,17,26,Peyton Manning pass complete short middle to Reggie Wayne for 6 yards,0.350,0.810
4,5:11,1,10,IND 28,17,26,Peyton Manning pass complete short middle to Jacob Tamme for 12 yards (tackle by Stewart Bradley),0.810,1.600
4,4:49,1,10,IND 40,17,26,Peyton Manning pass incomplete short left intended for Jacob Tamme,1.600,1.050
4,4:43,2,10,IND 40,17,26,Peyton Manning pass complete short right to Donald Brown for 14 yards (tackle by Quintin Mikell),1.050,2.520
4,4:36,1,10,PHI 46,17,26,Peyton Manning pass complete short right to Donald Brown for 13 yards (tackle by Quintin Mikell),2.520,3.380
4,4:11,1,10,PHI 33,17,26,Peyton Manning pass incomplete short right intended for Jacob Tamme,3.380,2.840
4,4:06,2,10,PHI 33,17,26,Peyton Manning sacked by Ernie Sims for -8 yards,2.840,1.090
4,3:41,3,18,PHI 41,17,26,Peyton Manning pass incomplete deep middle intended for Jacob Tamme,1.090,0.530
4,3:36,4,18,PHI 41,17,26,"Peyton Manning sacked by Trent Cole for -5 yards. Penalty on Trent Cole: Roughing the Passer, 15 yards",0.530,3.510
4,3:30,1,10,PHI 31,17,26,Peyton Manning pass complete short middle to Reggie Wayne for 12 yards (tackle by Joselio Hanson),3.510,4.310
4,3:10,1,10,PHI 19,17,26,Peyton Manning pass complete short right to Jacob Tamme for 7 yards (tackle by Quintin Mikell),4.310,4.920
4,2:50,2,3,PHI 12,17,26,Peyton Manning pass complete short left to Blair White for 6 yards (tackle by Dimitri Patterson),4.920,5.830
4,2:23,1,6,PHI 6,17,26,Javarris James middle for 3 yards (tackle by Stewart Bradley),5.830,5.530
4,2:01,2,3,PHI 3,17,26,Javarris James middle for 2 yards (tackle by Antonio Dixon),5.530,5.170
4,1:52,3,1,PHI 1,23,26,"Javarris James middle for 1 yard, touchdown",5.170,7.000
4,,,,PHI 2,24,26,Adam Vinatieri kicks extra point good,0.000,0.000
4,,,,IND 30,24,26,"Pat McAfee kicks off 70 yards, touchback",0.000,0.280
4,1:49,1,10,PHI 20,24,26,DeSean Jackson left end for 11 yards (tackle by Aaron Francisco),0.280,1.000
4,1:06,1,10,PHI 31,24,26,DeSean Jackson left end for 6 yards (tackle by Kelvin Hayden),1.000,1.270
4,1:06,,,,24,26,Timeout #1 by Indianapolis Colts,0.000,1.270
4,0:59,2,4,PHI 37,24,26,LeSean McCoy right tackle for 2 yards (tackle by Pat Angerer),1.270,0.830
4,0:54,,,,24,26,Timeout #2 by Indianapolis Colts,0.000,0.000
4,0:54,,,,24,26,Timeout #3 by Philadelphia Eagles,0.000,0.830
4,0:54,3,2,PHI 39,24,26,"Penalty on Nick Cole: False Start, 5 yards (no play)",0.830,0.170
4,0:54,3,7,PHI 34,24,26,Michael Vick sacked by Robert Mathis for 0 yards,0.170,-1.110
4,0:54,,,,24,26,Timeout #3 by Indianapolis Colts,0.000,-1.110
4,0:47,4,7,PHI 34,24,26,"Saverio Rocca punts 40 yards, fair catch by Blair White",-1.110,-0.670
4,0:40,1,10,IND 26,24,26,Peyton Manning pass complete short middle to Pierre Garcon for 1 yard,0.670,0.270
4,0:33,2,9,IND 27,24,26,Peyton Manning pass complete short left to Jacob Tamme for 14 yards (tackle by Ernie Sims),0.270,1.660
4,0:27,1,10,IND 41,24,26,Peyton Manning pass incomplete deep right intended for Pierre Garcon,1.660,1.120
4,0:23,2,10,IND 41,24,26,Peyton Manning pass incomplete deep right intended for Pierre Garcon,1.120,0.430
4,0:18,3,10,IND 41,24,26,"Peyton Manning pass incomplete deep right intended for Blair White is intercepted by Asante Samuel at PHI-36 and returned for -2 yards. Penalty on PHI: Unsportsmanlike Conduct, 15 yards",0.430,-0.150
4,0:06,1,10,PHI 19,24,26,Michael Vick kneels for -1 yards,0.150,-0.560
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
