Unnamed: 0,IND,PHI
First Downs,27,19
Rush-Yds-TDs,19-62-2,31-195-1
Cmp-Att-Yd-TD-INT,31-51-294-1-2,17-29-218-1-0
Sacked-Yards,3-18,3-11
Net Pass Yards,276,207
Total Yards,338,402
Fumbles-Lost,0-0,1-0
Turnovers,2,0
Penalties-Yards,7-59,14-125
Third Down Conv.,6-14,7-15
Fourth Down Conv.,0-1,0-0
Time of Possession,28:10,31:50
