Quarter,Time,Down,ToGo,Location,BAL,CAR,Detail,EPB,EPA
1,10:07,2,5,CAR 49,7,0,Brian St. Pierre pass complete short middle to Mike Goodson for 6 yards (tackle by Ray Lewis),1.990,2.590
1,9:31,1,10,BAL 45,7,0,Brian St. Pierre pass incomplete short right intended for Gary Barnidge,2.590,2.040
1,9:24,2,10,BAL 45,7,0,Mike Goodson right tackle for 1 yard (tackle by Terrell Suggs),2.040,1.490
1,8:44,3,9,BAL 44,7,0,Brian St. Pierre pass incomplete short middle intended for Dante Rosario,1.490,0.330
1,8:41,4,9,BAL 44,7,0,"Jason Baker punts 32 yards, fair catch by Lardarius Webb",0.330,0.350
1,8:33,1,10,BAL 12,7,0,Willis McGahee right tackle for 6 yards (tackle by James Anderson and Jon Beason),-0.350,-0.070
1,8:07,2,4,BAL 18,7,0,Willis McGahee middle for 5 yards (tackle by Charles Godfrey),-0.070,0.480
1,7:34,1,10,BAL 23,7,0,Joe Flacco pass complete short left to Derrick Mason for 9 yards (tackle by Richard Marshall),0.480,1.150
1,7:20,2,1,BAL 32,7,0,Le'Ron McClain middle for 6 yards (tackle by Charles Johnson),1.150,1.470
1,6:53,1,10,BAL 38,7,0,Willis McGahee middle for no gain (tackle by Jon Beason),1.470,0.920
1,6:13,2,10,BAL 38,7,0,Joe Flacco pass complete short right to Willis McGahee for -4 yards (tackle by Jon Beason),0.920,-0.290
1,6:13,3,14,BAL 34,7,0,"Penalty on Marshal Yanda: False Start, 5 yards (no play)",-0.290,-0.960
1,5:15,3,19,BAL 29,7,0,"Joe Flacco pass complete short right to Ray Rice for 3 yards (tackle by Jon Beason). Penalty on Everette Brown: Illegal Use of Hands, 5 yards (no play)",-0.960,1.200
1,4:54,1,10,BAL 34,7,0,Joe Flacco pass complete short middle to Ray Rice for 11 yards (tackle by Jon Beason),1.200,1.930
1,4:16,1,10,BAL 45,7,0,Joe Flacco pass complete deep middle to Derrick Mason for 23 yards (tackle by Nic Harris),1.930,3.450
1,3:36,1,10,CAR 32,7,0,Joe Flacco pass complete deep right to T.J. Houshmandzadeh for 23 yards (tackle by Sherrod Martin),3.450,5.140
1,3:05,1,9,CAR 9,7,0,Joe Flacco pass complete short right to Todd Heap for 2 yards (tackle by Charles Godfrey),5.140,4.760
1,2:36,2,7,CAR 7,7,0,Ray Rice left tackle for 2 yards (tackle by Charles Johnson),4.760,4.260
1,2:02,2,7,CAR 7,7,0,Timeout #1 by Carolina Panthers,4.760,4.260
1,2:02,3,5,CAR 5,7,0,Ray Rice left tackle for 1 yard (tackle by Charles Johnson),4.260,3.030
1,1:19,4,4,CAR 4,10,0,Billy Cundiff 22 yard field goal good,3.030,3.000
1,1:19,,,BAL 30,10,0,"Billy Cundiff kicks off 70 yards, touchback",0.000,0.280
1,1:14,1,10,CAR 20,10,0,Brian St. Pierre pass incomplete short right intended for Dante Rosario,0.280,-0.270
1,1:09,2,10,CAR 20,10,0,Mike Goodson middle for 45 yards (tackle by Chris Carr and Ray Lewis),-0.270,3.250
1,0:29,1,10,BAL 35,10,0,Mike Goodson right tackle for no gain (tackle by Ray Lewis),3.250,2.700
Quarter,Time,Down,ToGo,Location,BAL,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,BAL 35,10,0,Mike Goodson left guard for 3 yards (tackle by Ray Lewis and Haloti Ngata),2.700,2.410
2,14:22,3,7,BAL 32,10,0,Brian St. Pierre pass complete short middle to Mike Goodson for 5 yards (tackle by Dawan Landry),2.410,1.800
2,13:44,4,2,BAL 27,10,3,John Kasay 45 yard field goal good,1.800,3.000
2,13:44,,,CAR 30,10,3,"Rhys Lloyd kicks off 75 yards, returned by David Reed for 28 yards (tackle by Abdul Hodge)",0.000,0.480
2,13:34,1,10,BAL 23,10,3,Joe Flacco pass incomplete short right intended for Ray Rice,0.480,-0.070
2,13:25,2,10,BAL 23,10,3,Joe Flacco pass complete short right to Donte' Stallworth for 15 yards (tackle by Chris Gamble),-0.070,1.470
2,13:01,1,10,BAL 38,10,3,Joe Flacco pass complete short left to Le'Ron McClain for 7 yards (tackle by Richard Marshall),1.470,1.870
2,12:23,2,3,BAL 45,10,3,Ray Rice middle for 4 yards (tackle by Charles Godfrey),1.870,2.190
2,11:53,1,10,BAL 49,10,3,Donte' Stallworth left end for 7 yards (tackle by Jon Beason),2.190,2.590
2,11:04,2,3,CAR 44,10,3,Ray Rice middle for 4 yards (tackle by Charles Johnson),2.590,2.920
2,10:28,1,10,CAR 40,10,3,Joe Flacco pass complete short left to Ray Rice for 11 yards (tackle by Richard Marshall and Nic Harris),2.920,3.640
2,9:53,1,10,CAR 29,10,3,Willis McGahee middle for 4 yards (tackle by Jon Beason),3.640,3.640
2,9:30,2,6,CAR 25,10,3,Joe Flacco pass complete short left to Anquan Boldin for 6 yards (tackle by Tyler Brayton),3.640,4.310
2,8:46,1,10,CAR 19,10,3,Willis McGahee middle for 1 yard (tackle by Derek Landri),4.310,3.880
2,8:08,2,9,CAR 18,10,3,Joe Flacco pass complete short left to Ray Rice for 7 yards (tackle by Sherrod Martin),3.880,4.430
2,7:26,3,2,CAR 11,10,3,"Joe Flacco for no gain. Joe Flacco fumbles, recovered by Tyler Brayton at CAR-14 and returned for 1 yards (tackle by Matt Birk)",4.430,0.220
2,7:18,1,10,CAR 15,10,3,Mike Goodson middle for 2 yards (tackle by Cory Redding),-0.220,-0.440
2,6:43,2,8,CAR 17,10,3,Brian St. Pierre sacked by Jameel McClain for -3 yards,-0.440,-1.510
2,6:11,3,11,CAR 14,10,3,Brian St. Pierre pass complete short right to Mike Goodson for 4 yards (tackle by Dawan Landry),-1.510,-2.240
2,5:37,4,7,CAR 18,10,3,"Jason Baker punts 57 yards, returned by Lardarius Webb for 9 yards (tackle by Gary Barnidge). Penalty on Robert McClain: Unsportsmanlike Conduct, 15 yards",-2.240,-2.190
2,5:24,1,10,BAL 49,10,3,Joe Flacco pass incomplete deep left intended for Anquan Boldin,2.190,1.650
2,5:18,2,10,BAL 49,10,3,"Joe Flacco pass complete deep right to Todd Heap for 26 yards (tackle by Charles Godfrey). Todd Heap fumbles (forced by Charles Godfrey), ball out of bounds at CAR-25",1.650,3.910
,,,,,,,"CAR challenged the loose ball recovery ruling, and the play was upheld.",,
2,5:03,1,10,CAR 25,10,3,Willis McGahee middle for -2 yards (tackle by Sherrod Martin),3.910,3.090
2,4:30,2,12,CAR 27,10,3,Joe Flacco pass complete short left to Todd Heap for -4 yards (tackle by Richard Marshall),3.090,1.880
2,3:45,3,16,CAR 31,10,3,Joe Flacco pass complete deep right to Ray Rice for 18 yards (tackle by Sherrod Martin),1.880,4.710
2,3:12,1,10,CAR 13,10,3,Ray Rice middle for 6 yards (tackle by Charles Godfrey),4.710,5.150
2,2:38,2,4,CAR 7,10,3,Ray Rice middle for 6 yards (tackle by Everette Brown),5.150,6.970
2,2:00,1,1,CAR 1,16,3,"Ray Rice middle for 1 yard, touchdown",6.970,7.000
2,2:00,,,CAR 2,17,3,Billy Cundiff kicks extra point good,0.000,0.000
2,2:00,,,BAL 30,17,3,"Billy Cundiff kicks off 71 yards, returned by Devin Thomas for 17 yards (tackle by Haruki Nakamura)",0.000,-0.140
2,1:53,1,10,CAR 16,17,3,Mike Goodson left end for -3 yards (tackle by Terrell Suggs),-0.140,-0.990
2,1:26,2,13,CAR 13,17,3,Brian St. Pierre pass incomplete short right intended for Dante Rosario,-0.990,-1.750
2,1:22,3,13,CAR 13,17,3,Mike Goodson right tackle for 4 yards (tackle by Ray Lewis),-1.750,-2.320
2,1:18,3,13,CAR 13,17,3,Timeout #1 by Baltimore Ravens,-1.750,-2.320
2,1:18,4,9,CAR 17,17,3,"Jason Baker punts 51 yards, returned by Lardarius Webb for 10 yards (tackle by Robert McClain)",-2.320,-1.730
2,1:08,1,10,BAL 42,17,3,"Joe Flacco pass complete short middle to Anquan Boldin for 7 yards (tackle by Jon Beason). Anquan Boldin fumbles (forced by Jon Beason), recovered by Richard Marshall at BAL-49 (tackle by Anquan Boldin)",1.730,-2.320
2,0:53,1,10,BAL 49,17,3,Brian St. Pierre sacked by Paul Kruger for -9 yards,2.320,0.570
2,0:35,2,19,CAR 42,17,3,Brian St. Pierre pass complete short left to Steve Smith for 7 yards (tackle by Josh Wilson),0.570,0.830
2,0:14,2,19,CAR 42,17,3,Timeout #3 by Carolina Panthers,0.570,0.830
2,0:14,3,12,CAR 49,17,3,Brian St. Pierre pass incomplete short left intended for David Clowney,0.830,-0.130
2,0:09,4,12,CAR 49,17,3,"Jason Baker punts 51 yards, touchback",-0.130,2.190
Quarter,Time,Down,ToGo,Location,BAL,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 30,17,3,"Rhys Lloyd kicks off 72 yards, returned by David Reed for 84 yards (tackle by C.J. Wilson)",0.000,4.370
3,14:48,1,10,CAR 18,17,3,Ray Rice middle for 3 yards (tackle by Charles Johnson),4.370,4.250
3,14:14,2,7,CAR 15,17,3,Joe Flacco pass incomplete short left intended for Derrick Mason,4.250,3.460
3,14:07,3,7,CAR 15,17,3,Joe Flacco pass incomplete short left intended for Derrick Mason,3.460,2.440
3,14:03,4,7,CAR 15,20,3,Billy Cundiff 33 yard field goal good,2.440,3.000
3,14:03,,,BAL 30,20,3,"Billy Cundiff kicks off 59 yards, returned by Captain Munnerlyn for 64 yards (tackle by Jason Phillips)",0.000,3.910
3,13:42,1,10,BAL 25,20,3,"Mike Goodson middle for 12 yards (tackle by Jarret Johnson). Mike Goodson fumbles (forced by Jarret Johnson), recovered by Mike Goodson at BAL-13",3.910,4.710
3,12:58,1,10,BAL 13,20,3,Mike Goodson left end for -4 yards (tackle by Cory Redding),4.710,3.500
3,12:21,2,14,BAL 17,20,3,"Penalty on Dante Rosario: False Start, 5 yards (no play)",3.500,2.940
3,12:01,2,19,BAL 22,20,3,Brian St. Pierre pass incomplete short left intended for Steve Smith (defended by Terrell Suggs),2.940,2.280
3,11:58,3,19,BAL 22,20,3,Brian St. Pierre pass incomplete short left intended for David Gettis,2.280,1.990
3,11:55,4,19,BAL 22,20,6,John Kasay 40 yard field goal good,1.990,3.000
3,11:55,,,CAR 30,20,6,"Rhys Lloyd kicks off 75 yards, returned by David Reed for 23 yards (tackle by Eric Norwood)",0.000,0.040
3,11:49,1,10,BAL 18,20,6,Joe Flacco pass incomplete short right intended for Le'Ron McClain,0.040,-0.490
3,11:39,2,10,BAL 18,20,6,Ray Rice middle for 2 yards (tackle by Nick Hayden),-0.490,-0.910
3,10:56,3,8,BAL 20,20,6,Joe Flacco pass incomplete short right intended for Derrick Mason,-0.910,-2.030
3,10:53,4,8,BAL 20,20,6,"Sam Koch punts 56 yards, returned by Captain Munnerlyn for 19 yards (tackle by Jalen Parmele). Penalty on Abdul Hodge: Illegal Block Above the Waist, 10 yards",-2.030,-0.740
3,10:42,1,10,CAR 27,20,6,Brian St. Pierre pass incomplete short left intended for Gary Barnidge,0.740,0.200
3,10:36,2,10,CAR 27,20,6,Mike Goodson middle for 4 yards (tackle by Dawan Landry and Ray Lewis),0.200,0.040
3,9:55,3,6,CAR 31,20,6,Brian St. Pierre pass incomplete short left intended for David Gettis (defended by Haloti Ngata),0.040,-1.310
3,9:51,4,6,CAR 31,20,6,"Jason Baker punts 53 yards, returned by Lardarius Webb for 11 yards (tackle by Jordan Senn)",-1.310,-0.740
3,9:39,1,10,BAL 27,20,6,Willis McGahee left tackle for 3 yards (tackle by James Anderson),0.740,0.600
3,9:04,2,7,BAL 30,20,6,Joe Flacco pass complete short middle to Anquan Boldin for 16 yards (tackle by Charles Godfrey and Richard Marshall),0.600,1.990
3,8:27,1,10,BAL 46,20,6,Joe Flacco pass complete short left to Derrick Mason for 10 yards (tackle by Richard Marshall),1.990,2.650
3,7:41,1,10,CAR 44,20,6,Willis McGahee left end for 6 yards (tackle by Jon Beason and Sherrod Martin),2.650,2.920
3,7:01,2,4,CAR 38,20,6,Joe Flacco pass complete short left to Willis McGahee for -6 yards (tackle by James Anderson),2.920,1.420
3,6:17,3,10,CAR 44,20,6,Joe Flacco pass incomplete short left intended for Todd Heap (defended by Jordan Pugh),1.420,0.330
3,6:12,4,10,CAR 44,20,6,"Sam Koch punts 44 yards, touchback",0.330,-0.280
3,6:04,1,10,CAR 20,20,6,Mike Goodson right tackle for 4 yards (tackle by Chris Carr),0.280,0.270
3,5:32,2,6,CAR 24,20,6,Mike Goodson right tackle for 13 yards (tackle by Ed Reed),0.270,1.400
3,4:54,1,10,CAR 37,20,6,"Mike Goodson right end for no gain (tackle by Chris Carr). Penalty on Garry Williams: Offensive Holding, 10 yards (no play)",1.400,0.740
3,4:29,1,20,CAR 27,20,6,Brian St. Pierre pass incomplete short right intended for Steve Smith,0.740,-0.490
3,4:24,2,20,CAR 27,20,6,Brian St. Pierre pass complete short right to Jeff King for 1 yard (tackle by Jameel McClain),-0.490,-1.020
3,3:52,3,19,CAR 28,20,6,Brian St. Pierre pass complete short middle to Steve Smith for 14 yards (tackle by Chris Carr),-1.020,-0.590
3,3:10,4,5,CAR 42,20,6,"Jason Baker punts 33 yards, returned by Lardarius Webb for 4 yards (tackle by James Anderson)",-0.590,-0.870
3,3:01,1,10,BAL 29,20,6,Ray Rice left end for 4 yards (tackle by Everette Brown),0.870,0.870
3,2:23,2,6,BAL 33,20,6,Joe Flacco pass incomplete short left intended for Ed Dickson,0.870,0.170
3,2:17,3,6,BAL 33,20,6,Joe Flacco pass complete deep left to Todd Heap for 16 yards (tackle by Charles Godfrey),0.170,2.190
3,1:53,1,10,BAL 49,20,6,Joe Flacco pass incomplete short right intended for Ed Dickson,2.190,1.650
3,1:50,2,10,BAL 49,20,6,"Joe Flacco sacked by Everette Brown for -14 yards. Joe Flacco fumbles (forced by Everette Brown), recovered by Matt Birk at BAL-35",1.650,-0.890
3,0:55,2,10,BAL 49,20,6,Timeout #1 by Baltimore Ravens,1.650,-0.890
3,0:55,3,24,BAL 35,20,6,Joe Flacco pass complete short left to Ray Rice for 12 yards (tackle by Jordan Pugh),-0.890,-0.260
3,0:26,4,12,BAL 47,20,6,"Sam Koch punts 45 yards, returned by Captain Munnerlyn for 6 yards (tackle by Morgan Cox)",-0.260,0.280
3,0:13,1,10,CAR 14,20,6,Mike Goodson middle for -2 yards (tackle by Dawan Landry and Terrell Suggs),-0.280,-0.930
Quarter,Time,Down,ToGo,Location,BAL,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,12,CAR 12,20,6,Brian St. Pierre pass incomplete short left intended for Devin Thomas,-0.930,-1.650
4,14:56,3,12,CAR 12,20,12,"Brian St. Pierre pass complete deep left to David Gettis for 88 yards, touchdown",-1.650,7.000
4,14:56,,,BAL 2,20,13,John Kasay kicks extra point good,0.000,0.000
4,14:56,,,CAR 30,20,13,"Rhys Lloyd kicks off 72 yards, returned by Jalen Parmele for 25 yards (tackle by C.J. Wilson)",0.000,0.480
4,14:39,1,10,BAL 23,20,13,Joe Flacco pass complete short left to Le'Ron McClain for 4 yards (tackle by Richard Marshall),0.480,0.470
4,13:53,2,6,BAL 27,20,13,Ray Rice middle for no gain (tackle by James Anderson),0.470,-0.230
4,13:11,3,6,BAL 27,20,13,"Joe Flacco pass complete short middle to Anquan Boldin for 20 yards (tackle by Sherrod Martin). Penalty on Anquan Boldin: Illegal Shift (Declined), Penalty on Todd Heap: Offensive Pass Interference, 10 yards (no play)",-0.230,-1.760
4,12:34,3,16,BAL 17,20,13,Joe Flacco pass complete short middle to Ray Rice for 7 yards (tackle by Charles Johnson),-1.760,-1.770
4,11:44,4,9,BAL 24,20,13,"Sam Koch punts 60 yards, returned by Captain Munnerlyn for 8 yards (tackle by Jason Phillips)",-1.770,-0.540
4,11:39,1,10,CAR 24,20,13,Mike Goodson middle for 1 yard (tackle by Ray Lewis),0.540,0.130
4,11:04,2,9,CAR 25,20,13,Brian St. Pierre pass complete short right to David Gettis for 4 yards (tackle by Ray Lewis),0.130,-0.030
4,10:27,3,5,CAR 29,20,13,Brian St. Pierre pass complete short left to Jeff King for 3 yards (tackle by Jarret Johnson and Josh Wilson),-0.030,-1.240
4,9:49,4,2,CAR 32,20,13,"Jason Baker punts 47 yards, fair catch by Lardarius Webb",-1.240,-0.340
4,9:40,1,10,BAL 21,20,13,Ray Rice middle for 13 yards (tackle by Richard Marshall and Charles Godfrey),0.340,1.200
4,9:06,1,10,BAL 34,20,13,Ray Rice right tackle for 4 yards (tackle by Nick Hayden),1.200,1.200
4,8:28,2,6,BAL 38,20,13,Joe Flacco pass complete short right to Todd Heap for 29 yards (tackle by Sherrod Martin),1.200,3.380
4,7:58,1,10,CAR 33,20,13,Ray Rice middle for 4 yards (tackle by Charles Godfrey),3.380,3.380
4,7:22,2,6,CAR 29,20,13,Ray Rice left end for 1 yard (tackle by Sherrod Martin),3.380,2.810
4,6:38,3,5,CAR 28,20,13,Joe Flacco sacked by Greg Hardy for -3 yards,2.810,1.320
4,6:01,4,8,CAR 31,23,13,Billy Cundiff 49 yard field goal good,1.320,3.000
4,6:01,,,BAL 30,23,13,"Billy Cundiff kicks off 70 yards, touchback",0.000,0.280
4,5:55,1,10,CAR 20,23,13,Mike Goodson left end for -1 yards (tackle by Haloti Ngata),0.280,-0.460
4,5:19,2,11,CAR 19,23,13,Brian St. Pierre pass incomplete short middle intended for Mike Goodson,-0.460,-1.140
4,5:14,3,11,CAR 19,29,13,"Brian St. Pierre pass incomplete deep right intended for Dante Rosario is intercepted by Ed Reed at CAR-42 and returned for 19 yards, lateral to Dawan Landry for 23 yards, touchdown",-1.140,-7.000
4,4:59,,,CAR 2,30,13,Billy Cundiff kicks extra point good,0.000,0.000
4,4:59,,,BAL 30,30,13,"Billy Cundiff kicks off 75 yards, returned by Devin Thomas for 26 yards (tackle by Jason Phillips)",0.000,0.340
4,4:55,1,10,CAR 21,36,13,"Brian St. Pierre pass incomplete short right intended for Gary Barnidge is intercepted by Ray Lewis at CAR-24 and returned for 24 yards, touchdown",0.340,-7.000
4,4:48,,,CAR 2,37,13,Billy Cundiff kicks extra point good,0.000,0.000
4,4:48,,,BAL 30,37,13,"Billy Cundiff kicks off 75 yards, returned by Devin Thomas for 20 yards (tackle by David Reed)",0.000,-0.220
4,4:43,1,10,CAR 15,37,13,Mike Goodson right tackle for 2 yards (tackle by Ray Lewis),-0.220,-0.440
4,4:10,2,8,CAR 17,37,13,Brian St. Pierre pass complete deep middle to Steve Smith for 20 yards (tackle by Josh Wilson),-0.440,1.400
4,3:34,1,10,CAR 37,37,13,Brian St. Pierre pass incomplete deep left intended for Steve Smith,1.400,0.860
4,3:29,2,10,CAR 37,37,13,Brian St. Pierre sacked by Terrell Suggs for -11 yards,0.860,-1.290
4,2:48,3,21,CAR 26,37,13,Brian St. Pierre pass complete short middle to Mike Goodson for 7 yards (tackle by Josh Wilson),-1.290,-1.180
4,2:09,4,14,CAR 33,37,13,"Jason Baker punts 47 yards, fair catch by Lardarius Webb",-1.180,-0.280
4,2:02,1,10,BAL 20,37,13,Ray Rice left tackle for 2 yards (tackle by Greg Hardy),0.280,0.000
4,1:58,2,8,BAL 22,37,13,Ray Rice middle for 3 yards (tackle by Derek Landri),0.000,-0.300
4,1:52,2,8,BAL 22,37,13,Timeout #1 by Carolina Panthers,0.000,-0.300
4,1:52,3,5,BAL 25,37,13,"Penalty on Nick Hayden: Encroachment, 5 yards (no play)",-0.300,0.940
4,1:52,1,10,BAL 30,37,13,Ray Rice right end for 5 yards (tackle by Nick Hayden),0.940,1.070
4,1:45,1,10,BAL 30,37,13,Timeout #2 by Carolina Panthers,0.940,1.070
4,1:45,2,5,BAL 35,37,13,"Penalty on Andre Neblett: Encroachment, 4 yards (no play)",1.070,1.610
4,1:44,2,1,BAL 39,37,13,Le'Ron McClain middle for -1 yards (tackle by Greg Hardy),1.610,0.760
4,1:39,2,1,BAL 39,37,13,Timeout #3 by Carolina Panthers,1.610,0.760
4,1:39,3,2,BAL 38,37,13,Ray Rice left tackle for no gain (tackle by Derek Landri and Jon Beason),0.760,-0.850
4,0:52,3,2,BAL 38,37,13,Timeout #2 by Baltimore Ravens,0.760,-0.850
4,0:52,4,2,BAL 38,37,13,"Sam Koch punts 28 yards, out of bounds",-0.850,-1.200
4,0:45,1,10,CAR 34,37,13,Mike Goodson middle for 13 yards (tackle by Haruki Nakamura),1.200,2.060
4,0:22,1,10,CAR 47,37,13,Mike Goodson middle for 9 yards (tackle by Jameel McClain and Ken Hamlin),2.060,2.730
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
