Unnamed: 0,BAL,CAR
First Downs,22,9
Rush-Yds-TDs,31-100-1,22-120-0
Cmp-Att-Yd-TD-INT,24-33-301-1-0,13-28-173-1-2
Sacked-Yards,3-23,3-23
Net Pass Yards,278,150
Total Yards,378,270
Fumbles-Lost,4-2,2-0
Turnovers,2,2
Penalties-Yards,3-20,7-54
Third Down Conv.,2-11,1-13
Fourth Down Conv.,0-0,0-0
Time of Possession,34:33,25:27
