Quarter,Time,Tm,Detail,BAL,CAR
1.0,12:26,Ravens,T.J. Houshmandzadeh 56 yard pass from Joe Flacco (Billy Cundiff kick),7,0
,1:15,Ravens,Billy Cundiff 22 yard field goal,10,0
2.0,13:39,Panthers,John Kasay 45 yard field goal,10,3
,1:57,Ravens,Ray Rice 1 yard rush (Billy Cundiff kick),17,3
3.0,13:58,Ravens,Billy Cundiff 33 yard field goal,20,3
,11:49,Panthers,John Kasay 40 yard field goal,20,6
4.0,14:44,Panthers,David Gettis 88 yard pass from Brian St. Pierre (John Kasay kick),20,13
,5:55,Ravens,Billy Cundiff 49 yard field goal,23,13
,4:59,Ravens,Dawan Landry 23 yard interception return (Billy Cundiff kick),30,13
,4:48,Ravens,Ray Lewis 24 yard interception return (Billy Cundiff kick),37,13
