Unnamed: 0,MIA,GNB
First Downs,19,21
Rush-Yds-TDs,23-131-0,25-195-2
Cmp-Att-Yd-TD-INT,23-37-213-0-1,19-28-199-2-0
Sacked-Yards,6-50,2-17
Net Pass Yards,163,182
Total Yards,294,377
Fumbles-Lost,1-1,1-1
Turnovers,2,1
Penalties-Yards,3-10,6-45
Third Down Conv.,4-14,4-10
Fourth Down Conv.,3-4,1-2
Time of Possession,32:08,27:52
