Quarter,Time,Down,ToGo,Location,MIA,GNB,Detail,EPB,EPA
1,0:31,1,4,MIA 4,3,7,Aaron Jones up the middle for 2 yards (tackle by Raekwon McMillan and Kiko Alonso),6.280,5.720
Quarter,Time,Down,ToGo,Location,MIA,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,MIA 2,3,13,"Aaron Jones up the middle for 2 yards, touchdown",5.720,7.000
2,14:53,,,MIA 15,3,14,Mason Crosby kicks extra point good,0.000,0.000
2,14:53,,,GNB 35,3,14,"Mason Crosby kicks off 63 yards, returned by Jakeem Grant for no gain (tackle by James Crawford)",0.000,-0.220
2,14:48,1,10,MIA 15,3,14,Frank Gore right tackle for 4 yards (tackle by Dean Lowry and Reggie Gilbert),-0.220,-0.110
2,14:13,2,6,MIA 19,3,14,Brock Osweiler pass complete short right to Frank Gore for 8 yards (tackle by Josh Jones),-0.110,0.740
2,13:44,1,10,MIA 27,3,14,Brock Osweiler pass complete short left to Danny Amendola for 39 yards (tackle by Tramon Williams),0.740,3.310
2,13:06,1,10,GNB 34,3,14,Brock Osweiler pass complete short left to DeVante Parker for 10 yards (tackle by Bashaud Breeland),3.310,3.970
2,12:37,1,10,GNB 24,3,14,Brock Osweiler pass complete short middle to DeVante Parker for 7 yards (tackle by Josh Jackson),3.970,4.460
2,12:06,2,3,GNB 17,3,14,Frank Gore right tackle for 9 yards (tackle by Josh Jones and Mike Daniels),4.460,5.370
2,11:24,1,8,GNB 8,3,14,Brock Osweiler pass incomplete short left intended for A.J. Derby,5.370,4.570
2,11:20,2,8,GNB 8,3,14,Kenyan Drake right end for 1 yard (tackle by Blake Martinez),4.570,3.810
2,10:37,3,7,GNB 7,3,14,Brock Osweiler pass incomplete short middle intended for Danny Amendola (defended by Raven Greene),3.810,2.970
2,10:33,4,7,GNB 7,6,14,Jason Sanders 25 yard field goal good. Penalty on Josh Jackson: Defensive Offside (Declined),2.970,3.000
2,10:29,,,MIA 35,6,14,"Jason Sanders kicks off 64 yards, returned by Bashaud Breeland for no gain (tackle by Mike Hull). Penalty on Jamaal Williams: Unnecessary Roughness, 10 yards",0.000,-0.380
2,10:23,1,10,GNB 10,6,14,Aaron Rodgers pass incomplete deep left (defended by Minkah Fitzpatrick),-0.380,-0.780
2,10:17,2,10,GNB 10,6,14,Aaron Rodgers pass complete short right (tackle by Bobby McCain),-0.780,-1.300
2,9:34,3,9,GNB 11,6,14,Aaron Rodgers pass complete deep right to Davante Adams for 19 yards (tackle by Xavien Howard),-1.300,0.940
2,8:58,1,10,GNB 30,6,14,Aaron Rodgers pass complete short left to Lance Kendricks for 6 yards (tackle by T.J. McDonald),0.940,1.200
2,8:12,2,4,GNB 36,6,14,Jamaal Williams up the middle for 2 yards (tackle by Bobby McCain and Kiko Alonso),1.200,0.760
2,7:30,3,2,GNB 38,6,14,Aaron Rodgers pass complete short right to Marquez Valdes-Scantling for 5 yards (tackle by Xavien Howard),0.760,1.800
2,7:02,1,10,GNB 43,6,14,Aaron Rodgers left end for 9 yards (tackle by Kiko Alonso),1.800,2.470
2,6:31,2,1,MIA 48,6,14,Jamaal Williams up the middle for -1 yards (tackle by Raekwon McMillan and Davon Godchaux),2.470,1.620
2,5:46,3,2,MIA 49,6,14,Aaron Rodgers pass incomplete short right,1.620,0.000
2,5:36,4,2,MIA 49,6,14,Aaron Rodgers sacked by Cameron Wake and Robert Quinn for -6 yards,0.000,-2.590
2,5:31,1,10,GNB 45,6,14,Frank Gore left tackle for 3 yards (tackle by Dean Lowry),2.590,2.450
2,4:52,2,7,GNB 42,6,14,"Brock Osweiler pass incomplete short left intended for Danny Amendola. Penalty on Josh Jackson: Illegal Contact, 5 yards (no play)",2.450,3.120
2,4:46,1,10,GNB 37,6,14,Brock Osweiler pass incomplete deep left intended for DeVante Parker,3.120,2.570
2,4:41,2,10,GNB 37,6,14,Kenyan Drake left end for 6 yards (tackle by Blake Martinez and Josh Jackson),2.570,2.680
2,4:02,3,4,GNB 31,6,14,"Penalty on Jake Brendel: False Start, 5 yards (no play)",2.680,2.010
2,3:38,3,9,GNB 36,6,14,Brock Osweiler pass complete short right to DeVante Parker for 7 yards (tackle by Blake Martinez),2.010,1.600
2,2:54,4,2,GNB 29,9,14,Jason Sanders 47 yard field goal good,1.600,3.000
2,2:49,,,MIA 35,9,14,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
2,2:49,1,10,GNB 25,9,14,Aaron Jones right guard for no gain (tackle by Raekwon McMillan and Davon Godchaux),0.610,0.060
2,2:19,2,10,GNB 25,9,14,Aaron Rodgers pass complete short left to Marquez Valdes-Scantling for 9 yards (tackle by Bobby McCain and Raekwon McMillan),0.060,0.560
2,2:00,3,1,GNB 34,9,14,Aaron Jones up the middle for 3 yards (tackle by Akeem Spence),0.560,1.400
2,1:38,1,10,GNB 37,9,14,Aaron Rodgers pass complete short middle to Marquez Valdes-Scantling for 11 yards (tackle by Raekwon McMillan),1.400,2.130
2,1:16,1,10,GNB 48,9,14,Aaron Rodgers pass complete short right to Marquez Valdes-Scantling for 11 yards (tackle by Bobby McCain),2.130,2.850
2,1:11,1,10,MIA 41,9,14,Aaron Rodgers left end for 8 yards (tackle by T.J. McDonald),2.850,3.390
2,1:03,2,2,MIA 33,9,14,Aaron Jones up the middle for no gain (tackle by Robert Quinn),3.390,2.680
2,0:58,,,,,,Timeout #1 by Green Bay Packers,,
2,0:58,3,2,MIA 33,9,14,Aaron Rodgers sacked by Robert Quinn for -11 yards,2.680,0.330
2,0:50,,,,,,Timeout #1 by Miami Dolphins,,
2,0:40,4,13,MIA 44,9,14,JK Scott punts 37 yards downed by Oren Burks,0.330,0.380
2,0:40,1,10,MIA 7,9,14,Brock Osweiler pass complete short right to Frank Gore for 4 yards (tackle by Josh Jones),-0.380,-0.490
2,0:33,,,,,,Timeout #2 by Green Bay Packers,,
2,0:33,2,6,MIA 11,9,14,Brock Osweiler pass incomplete short middle intended for DeVante Parker,-0.490,-0.950
2,0:29,,,,,,Timeout #3 by Green Bay Packers,,
2,0:29,3,6,MIA 11,9,14,Brock Osweiler pass complete short middle to DeVante Parker for 14 yards (tackle by Kyler Fackrell),-0.950,0.610
2,0:22,,,,,,Timeout #2 by Miami Dolphins,,
2,0:22,1,10,MIA 25,9,14,Brock Osweiler pass incomplete deep right intended for DeVante Parker,0.610,0.060
2,0:16,2,10,MIA 25,9,14,Brock Osweiler pass complete short left to Kalen Ballage for 6 yards (tackle by Josh Jackson),0.060,0.170
2,0:09,,,,,,Timeout #3 by Miami Dolphins,,
2,0:09,3,4,MIA 31,9,14,Brock Osweiler pass complete short left to Danny Amendola for 8 yards (tackle by Kyler Fackrell),0.170,1.530
2,0:05,1,10,MIA 39,9,14,Brock Osweiler pass complete short middle to Kalen Ballage for 9 yards (tackle by Kyler Fackrell). Penalty on Sam Young: Offensive Holding (no play),1.530,0.990
Quarter,Time,Down,ToGo,Location,MIA,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 35,9,14,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,GNB 25,9,14,Aaron Jones left end for 6 yards (tackle by Cameron Wake and Kiko Alonso),0.610,0.870
3,14:21,2,4,GNB 31,9,14,Aaron Rodgers pass incomplete deep left intended for Marquez Valdes-Scantling,0.870,0.170
3,14:15,3,4,GNB 31,9,14,Aaron Rodgers pass complete short middle to Davante Adams for 21 yards (tackle by Xavien Howard). Penalty on Andre Branch: Illegal Use of Hands (Offsetting) (no play),0.170,0.170
3,13:52,3,4,GNB 31,9,14,"Penalty on Aaron Jones: False Start, 5 yards (no play)",0.170,-0.490
3,13:27,3,9,GNB 26,9,14,Aaron Rodgers pass incomplete short right,-0.490,-1.630
3,13:20,4,9,GNB 26,9,14,"JK Scott punts blocked by Brandon Bolden, recovered by Leonte Carroo (tackle by Antonio Morrison)",-1.630,-3.710
3,13:11,1,10,GNB 28,9,14,Brock Osweiler pass incomplete short right intended for Kenny Stills (defended by Jaire Alexander),3.710,3.170
3,13:04,2,10,GNB 28,9,14,Frank Gore up the middle for 1 yard (tackle by Dean Lowry),3.170,2.610
3,12:28,3,9,GNB 27,9,14,Brock Osweiler pass complete short right to Mike Gesicki for 5 yards (tackle by Jaire Alexander),2.610,2.070
3,11:43,4,4,GNB 22,12,14,Jason Sanders 40 yard field goal good,2.070,3.000
3,11:43,,,MIA 35,12,14,"Jason Sanders kicks off 25 yards, out of bounds",0.000,1.600
3,11:43,1,10,GNB 40,12,14,Aaron Rodgers pass complete short right to Marquez Valdes-Scantling for 8 yards (tackle by Xavien Howard),1.600,2.130
3,11:11,2,2,GNB 48,12,14,Aaron Rodgers pass incomplete deep left intended for Davante Adams,2.130,1.420
3,11:07,3,2,GNB 48,12,14,Aaron Rodgers pass complete short left to Marcedes Lewis for 30 yards (tackle by Kiko Alonso),1.420,4.110
3,10:22,1,10,MIA 22,12,14,Aaron Jones right end for 12 yards (tackle by Reshad Jones and Xavien Howard),4.110,4.910
3,9:38,1,10,MIA 10,12,20,"Aaron Jones right guard for 10 yards, touchdown",4.910,7.000
3,9:33,,,MIA 15,12,21,Mason Crosby kicks extra point good,0.000,0.000
3,9:33,,,GNB 35,12,21,"Mason Crosby kicks off 69 yards, returned by Jakeem Grant for no gain (tackle by Tony Brown)",0.000,0.670
3,9:28,1,10,MIA 26,12,21,Kenyan Drake left end for 1 yard (tackle by Josh Jones),0.670,0.270
3,9:03,2,9,MIA 27,12,21,Brock Osweiler pass short left intended for Danny Amendola is intercepted by Bashaud Breeland at MIA-38 and returned for 26 yards,0.270,-4.780
3,8:52,1,10,MIA 12,12,21,"Aaron Jones right end for 2 yards (tackle by Raekwon McMillan and Kiko Alonso). Penalty on Davante Adams: Illegal Crackback, 15 yards",4.780,3.910
3,8:07,1,23,MIA 25,12,21,Aaron Rodgers pass complete short right to Aaron Jones for no gain (tackle by Minkah Fitzpatrick),3.910,2.470
3,7:31,2,23,MIA 25,12,27,"Aaron Rodgers pass complete deep right to Davante Adams for 25 yards, touchdown",2.470,7.000
3,7:25,,,MIA 15,12,28,Mason Crosby kicks extra point good,0.000,0.000
3,7:25,,,GNB 35,12,28,"Mason Crosby kicks off 67 yards, returned by Jakeem Grant for no gain (tackle by Tra Carson)",0.000,0.280
3,7:20,1,10,MIA 20,12,28,Frank Gore up the middle for 4 yards (tackle by Dean Lowry and Tyler Lancaster),0.280,0.270
3,6:42,2,6,MIA 24,12,28,Brock Osweiler pass incomplete short right intended for Frank Gore,0.270,-0.430
3,6:38,3,6,MIA 24,12,28,Brock Osweiler pass complete short middle to DeVante Parker for 5 yards (tackle by Jaire Alexander),-0.430,-1.440
3,5:51,4,1,MIA 29,12,28,Leonte Carroo up the middle for no gain (tackle by Tra Carson),-1.440,1.800
3,5:05,1,10,MIA 43,12,28,Kenyan Drake right end for 2 yards (tackle by Josh Jones),1.800,1.520
3,4:32,2,8,MIA 45,12,28,Brock Osweiler sacked by Dean Lowry for -7 yards,1.520,-0.100
3,3:49,3,15,MIA 38,12,28,Brock Osweiler pass complete deep middle to Leonte Carroo for 20 yards (tackle by Josh Jackson),-0.100,2.790
3,3:10,1,10,GNB 42,12,28,Brock Osweiler pass complete short middle to Kenny Stills for 8 yards (tackle by Jaire Alexander),2.790,3.320
3,2:28,2,2,GNB 34,12,28,Brock Osweiler pass incomplete short middle intended for Jakeem Grant,3.320,2.610
3,2:25,3,2,GNB 34,12,28,Brock Osweiler pass incomplete short left intended for DeVante Parker (defended by Tony Brown),2.610,1.100
3,2:22,4,2,GNB 34,12,28,Brock Osweiler pass complete short left to Nick O'Leary for 5 yards (tackle by Tony Brown),1.100,3.640
3,1:47,1,10,GNB 29,12,28,Frank Gore left tackle for 1 yard (tackle by Kenny Clark),3.640,3.240
3,1:05,2,9,GNB 28,12,28,Brock Osweiler pass complete short right to Danny Amendola for 2 yards (tackle by Josh Jackson),3.240,2.810
3,0:34,,,,,,Timeout #1 by Miami Dolphins,,
3,0:34,3,7,GNB 26,12,28,Brock Osweiler sacked by Raven Greene for -12 yards,2.810,0.720
Quarter,Time,Down,ToGo,Location,MIA,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,19,GNB 38,12,28,"Matt Haack punts 38 yards, touchback.",0.720,-0.280
4,14:51,1,10,GNB 20,12,28,Aaron Rodgers pass complete short right to Marquez Valdes-Scantling for no gain (tackle by Raekwon McMillan),0.280,-0.270
4,14:06,2,10,GNB 20,12,28,Aaron Jones right guard for 10 yards (tackle by T.J. McDonald),-0.270,0.940
4,13:26,1,10,GNB 30,12,28,Aaron Rodgers pass complete short left to Jimmy Graham for 14 yards (tackle by T.J. McDonald),0.940,1.860
4,12:40,1,10,GNB 44,12,28,Aaron Rodgers pass complete short right to Davante Adams for 6 yards (tackle by Reshad Jones),1.860,2.130
4,11:59,2,4,GNB 50,12,28,Aaron Jones right guard for 1 yard (tackle by Cameron Wake and Evander Hood),2.130,1.550
4,11:16,3,3,MIA 49,12,28,Aaron Rodgers pass incomplete short left intended for Aaron Jones (defended by Reshad Jones),1.550,0.000
4,11:08,4,3,MIA 49,12,28,Raven Greene left end for no gain (tackle by Mike Hull),0.000,4.040
4,10:10,1,10,MIA 23,12,28,Aaron Jones right tackle for 3 yards (tackle by Raekwon McMillan),4.040,3.900
4,9:34,2,7,MIA 20,12,28,Aaron Rodgers sacked by Davon Godchaux for no gain. Penalty on Davon Godchaux: Defensive Holding (Offsetting) (no play),3.900,3.900
4,9:06,2,7,MIA 20,12,28,Aaron Rodgers pass incomplete deep middle intended for Davante Adams,3.900,3.200
4,9:01,3,7,MIA 20,12,28,Aaron Rodgers pass incomplete short right intended for Davante Adams,3.200,2.120
4,8:57,4,7,MIA 20,12,31,Mason Crosby 38 yard field goal good,2.120,3.000
4,8:53,,,GNB 35,12,31,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
4,8:53,1,10,MIA 25,12,31,Brock Osweiler pass incomplete short right,0.610,0.060
4,8:46,2,10,MIA 25,12,31,Brock Osweiler pass complete short middle to Kenyan Drake for 8 yards (tackle by Jaire Alexander),0.060,0.430
4,8:08,3,2,MIA 33,12,31,Brock Osweiler pass complete short left to Danny Amendola for 1 yard (tackle by Tony Brown),0.430,-1.110
4,7:32,4,1,MIA 34,12,31,Kenyan Drake right guard for 3 yards (tackle by Dean Lowry),-1.110,1.400
4,6:52,1,10,MIA 37,12,31,Brock Osweiler pass complete short right to A.J. Derby for 13 yards (tackle by Blake Martinez),1.400,2.260
4,6:12,1,10,MIA 50,12,31,Kenyan Drake up the middle for 6 yards (tackle by Kyler Fackrell and Antonio Morrison),2.260,2.520
4,5:35,2,4,GNB 44,12,31,Brock Osweiler pass complete short middle to Danny Amendola for 5 yards (tackle by Blake Martinez),2.520,2.980
4,5:03,1,10,GNB 39,12,31,Brock Osweiler sacked by Kenny Clark for -9 yards,2.980,1.230
4,4:25,2,19,GNB 48,12,31,Brock Osweiler pass complete short right to Danny Amendola for 8 yards (tackle by Josh Jackson),1.230,1.620
4,3:50,3,11,GNB 40,12,31,Brock Osweiler sacked by Montravius Adams for -2 yards,1.620,0.460
4,3:07,4,13,GNB 42,12,31,Brock Osweiler sacked by Reggie Gilbert for -12 yards,0.460,-2.520
4,3:02,1,10,MIA 46,12,31,Jamaal Williams left end for 2 yards (tackle by Jerome Baker),2.520,2.250
4,2:21,2,8,MIA 44,12,31,Aaron Rodgers pass complete deep left to Lance Kendricks for 18 yards (tackle by Reshad Jones),2.250,3.840
4,2:00,1,10,MIA 26,12,31,Aaron Rodgers kneels for -1 yards,3.840,3.160
4,1:18,2,11,MIA 27,12,31,Aaron Rodgers kneels for -1 yards,3.160,2.350
4,0:38,3,12,MIA 28,12,31,Aaron Rodgers kneels for -1 yards,2.350,1.500
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
