Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
AJ Dillon,GNB,14,43,0,2,32,2.3,11,0.8,0,
Jordan Love,GNB,3,39,0,1,39,13.0,0,0.0,0,
Patrick Taylor,GNB,3,11,0,,7,2.3,4,1.3,0,
Jayden Reed,GNB,2,16,0,1,10,5.0,6,3.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
David Montgomery,DET,15,71,1,4,44,2.9,27,1.8,1,15.0
Jahmyr Gibbs,DET,11,54,0,2,45,4.1,9,0.8,0,
Jared Goff,DET,3,9,0,0,7,2.3,2,0.7,0,
Kalif Raymond,DET,1,6,0,0,5,5.0,1,1.0,0,
Jalen Reeves-Maybin,DET,1,0,0,,0,0.0,0,0.0,0,
