Unnamed: 0,GNB,DET
First Downs,17,25
Rush-Yds-TDs,22-109-0,31-140-1
Cmp-Att-Yd-TD-INT,22-32-268-3-0,29-44-332-2-0
Sacked-Yards,0-0,3-8
Net Pass Yards,268,324
Total Yards,377,464
Fumbles-Lost,0-0,3-3
Turnovers,0,3
Penalties-Yards,7-60,7-51
Third Down Conv.,5-11,7-15
Fourth Down Conv.,0-1,1-5
Time of Possession,28:04,31:56
